Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
683409,683410,2020256N11329,,,TEDDY,11.0,-31.4,25,1007,2020,9,12,2020/09/12 04:00:00+00
683410,683411,2020256N11329,,,TEDDY,11.1,-31.91,27,1006,2020,9,12,2020/09/12 04:00:00+00
683411,683412,2020256N11329,,,TEDDY,11.2,-32.4,30,1006,2020,9,12,2020/09/12 04:00:00+00
683412,683413,2020256N11329,,,TEDDY,11.3,-32.86,30,1005,2020,9,12,2020/09/12 04:00:00+00
683413,683414,2020256N11329,,,TEDDY,11.4,-33.3,30,1005,2020,9,12,2020/09/12 04:00:00+00
683414,683415,2020256N11329,,,TEDDY,11.49,-33.75,30,1005,2020,9,12,2020/09/12 04:00:00+00
683415,683416,2020256N11329,,,TEDDY,11.6,-34.2,30,1005,2020,9,13,2020/09/13 04:00:00+00
683416,683417,2020256N11329,,,TEDDY,11.74,-34.63,30,1005,2020,9,13,2020/09/13 04:00:00+00
683417,683418,2020256N11329,,,TEDDY,11.9,-35.1,30,1005,2020,9,13,2020/09/13 04:00:00+00
683418,683419,2020256N11329,,,TEDDY,12.04,-35.63,30,1005,2020,9,13,2020/09/13 04:00:00+00
683419,683420,2020256N11329,,,TEDDY,12.2,-36.2,30,1006,2020,9,13,2020/09/13 04:00:00+00
683420,683421,2020256N11329,,,TEDDY,12.4,-36.78,30,1006,2020,9,13,2020/09/13 04:00:00+00
683421,683422,2020256N11329,,,TEDDY,12.6,-37.4,30,1006,2020,9,13,2020/09/13 04:00:00+00
683422,683423,2020256N11329,,,TEDDY,12.78,-38.01,32,1005,2020,9,13,2020/09/13 04:00:00+00
683423,683424,2020256N11329,,,TEDDY,12.9,-38.7,35,1004,2020,9,14,2020/09/14 04:00:00+00
683424,683425,2020256N11329,,,TEDDY,12.92,-39.52,35,1004,2020,9,14,2020/09/14 04:00:00+00
683425,683426,2020256N11329,,,TEDDY,12.9,-40.4,35,1004,2020,9,14,2020/09/14 04:00:00+00
683426,683427,2020256N11329,,,TEDDY,12.9,-41.28,35,1004,2020,9,14,2020/09/14 04:00:00+00
683427,683428,2020256N11329,,,TEDDY,12.9,-42.1,35,1004,2020,9,14,2020/09/14 04:00:00+00
683428,683429,2020256N11329,,,TEDDY,12.89,-42.8,37,1003,2020,9,14,2020/09/14 04:00:00+00
683429,683430,2020256N11329,,,TEDDY,12.9,-43.4,40,1003,2020,9,14,2020/09/14 04:00:00+00
683430,683431,2020256N11329,,,TEDDY,12.92,-43.97,42,1002,2020,9,14,2020/09/14 04:00:00+00
683431,683432,2020256N11329,,,TEDDY,13.0,-44.5,45,1002,2020,9,15,2020/09/15 04:00:00+00
683432,683433,2020256N11329,,,TEDDY,13.18,-45.0,47,1001,2020,9,15,2020/09/15 04:00:00+00
683433,683434,2020256N11329,,,TEDDY,13.4,-45.5,50,1001,2020,9,15,2020/09/15 04:00:00+00
683434,683435,2020256N11329,,,TEDDY,13.6,-46.06,52,1000,2020,9,15,2020/09/15 04:00:00+00
