Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
512873,512874,1994078S06184,SP,MM,THOMAS:TOMAS,-6.4,184.4,15,0,1994,3,19,1994/03/19 04:00:00+00
512874,512875,1994078S06184,SP,MM,THOMAS:TOMAS,-6.66,184.21,15,0,1994,3,19,1994/03/19 04:00:00+00
512875,512876,1994078S06184,SP,MM,THOMAS:TOMAS,-6.9,184.0,15,0,1994,3,19,1994/03/19 04:00:00+00
512876,512877,1994078S06184,SP,MM,THOMAS:TOMAS,-7.12,183.76,17,0,1994,3,19,1994/03/19 04:00:00+00
512877,512878,1994078S06184,SP,MM,THOMAS:TOMAS,-7.3,183.5,20,0,1994,3,19,1994/03/19 04:00:00+00
512878,512879,1994078S06184,SP,MM,THOMAS:TOMAS,-7.46,183.26,20,0,1994,3,19,1994/03/19 04:00:00+00
512879,512880,1994078S06184,SP,MM,THOMAS:TOMAS,-7.6,183.0,20,0,1994,3,19,1994/03/19 04:00:00+00
512880,512881,1994078S06184,SP,MM,THOMAS:TOMAS,-7.71,182.67,20,0,1994,3,19,1994/03/19 04:00:00+00
512881,512882,1994078S06184,SP,MM,THOMAS:TOMAS,-7.8,182.3,20,0,1994,3,20,1994/03/20 04:00:00+00
512882,512883,1994078S06184,SP,MM,THOMAS:TOMAS,-7.87,181.92,22,0,1994,3,20,1994/03/20 04:00:00+00
512883,512884,1994078S06184,SP,MM,THOMAS:TOMAS,-8.32,181.68,25,0,1994,3,20,1994/03/20 04:00:00+00
512884,512885,1994078S06184,SP,MM,THOMAS:TOMAS,-8.51,181.31,25,0,1994,3,20,1994/03/20 04:00:00+00
512885,512886,1994078S06184,SP,MM,THOMAS:TOMAS,-8.53,180.84,25,0,1994,3,20,1994/03/20 04:00:00+00
512886,512887,1994078S06184,SP,MM,THOMAS:TOMAS,-8.43,180.26,25,0,1994,3,20,1994/03/20 04:00:00+00
512887,512888,1994078S06184,SP,MM,THOMAS:TOMAS,-8.25,179.6,25,0,1994,3,20,1994/03/20 04:00:00+00
512888,512889,1994078S06184,SP,MM,THOMAS:TOMAS,-8.16,178.96,25,0,1994,3,20,1994/03/20 04:00:00+00
512889,512890,1994078S06184,SP,MM,THOMAS:TOMAS,-8.2,178.35,25,0,1994,3,21,1994/03/21 04:00:00+00
512890,512891,1994078S06184,SP,MM,THOMAS:TOMAS,-8.34,177.82,25,0,1994,3,21,1994/03/21 04:00:00+00
512891,512892,1994078S06184,SP,MM,THOMAS:TOMAS,-8.6,177.3,25,0,1994,3,21,1994/03/21 04:00:00+00
512892,512893,1994078S06184,SP,MM,THOMAS:TOMAS,-8.93,176.74,25,0,1994,3,21,1994/03/21 04:00:00+00
512893,512894,1994078S06184,SP,MM,THOMAS:TOMAS,-9.35,176.1,25,0,1994,3,21,1994/03/21 04:00:00+00
512894,512895,1994078S06184,SP,MM,THOMAS:TOMAS,-9.84,175.41,27,0,1994,3,21,1994/03/21 04:00:00+00
512895,512896,1994078S06184,SP,MM,THOMAS:TOMAS,-10.4,174.55,30,0,1994,3,21,1994/03/21 04:00:00+00
512896,512897,1994078S06184,SP,MM,THOMAS:TOMAS,-11.06,173.3,30,0,1994,3,21,1994/03/21 04:00:00+00
512897,512898,1994078S06184,SP,MM,THOMAS:TOMAS,-11.6,172.2,30,0,1994,3,22,1994/03/22 04:00:00+00
512898,512899,1994078S06184,SP,MM,THOMAS:TOMAS,-11.78,171.8,32,0,1994,3,22,1994/03/22 04:00:00+00
512899,512900,1994078S06184,SP,MM,THOMAS:TOMAS,-11.85,171.7,35,0,1994,3,22,1994/03/22 04:00:00+00
512900,512901,1994078S06184,SP,MM,THOMAS:TOMAS,-12.03,171.51,35,0,1994,3,22,1994/03/22 04:00:00+00
512901,512902,1994078S06184,SP,MM,THOMAS:TOMAS,-12.25,171.35,35,0,1994,3,22,1994/03/22 04:00:00+00
512902,512903,1994078S06184,SP,MM,THOMAS:TOMAS,-12.48,171.21,35,0,1994,3,22,1994/03/22 04:00:00+00
512903,512904,1994078S06184,SP,MM,THOMAS:TOMAS,-12.8,171.1,35,0,1994,3,22,1994/03/22 04:00:00+00
512904,512905,1994078S06184,SP,MM,THOMAS:TOMAS,-13.28,171.03,42,0,1994,3,22,1994/03/22 04:00:00+00
512905,512906,1994078S06184,SP,MM,THOMAS:TOMAS,-13.75,170.95,50,0,1994,3,23,1994/03/23 04:00:00+00
