Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
440510,440511,1984002S14108,SI,WA,TIM,-13.5,107.8,0,0,1984,1,2,1984/01/02 05:00:00+00
440511,440512,1984002S14108,SI,WA,TIM,-13.71,108.08,0,0,1984,1,2,1984/01/02 05:00:00+00
440512,440513,1984002S14108,SI,WA,TIM,-13.9,108.3,0,0,1984,1,2,1984/01/02 05:00:00+00
440513,440514,1984002S14108,SI,WA,TIM,-14.07,108.4,0,0,1984,1,2,1984/01/02 05:00:00+00
440514,440515,1984002S14108,SI,WA,TIM,-14.2,108.38,0,0,1984,1,2,1984/01/02 05:00:00+00
440515,440516,1984002S14108,SI,WA,TIM,-14.29,108.28,0,0,1984,1,2,1984/01/02 05:00:00+00
440516,440517,1984002S14108,SI,WA,TIM,-14.3,108.1,0,0,1984,1,3,1984/01/03 05:00:00+00
440517,440518,1984002S14108,SI,WA,TIM,-14.21,107.86,0,0,1984,1,3,1984/01/03 05:00:00+00
440518,440519,1984002S14108,SI,WA,TIM,-14.06,107.6,0,0,1984,1,3,1984/01/03 05:00:00+00
440519,440520,1984002S14108,SI,WA,TIM,-13.93,107.43,0,0,1984,1,3,1984/01/03 05:00:00+00
440520,440521,1984002S14108,SI,WA,TIM,-13.9,107.32,25,0,1984,1,3,1984/01/03 05:00:00+00
440521,440522,1984002S14108,SI,WA,TIM,-13.84,107.25,25,0,1984,1,3,1984/01/03 05:00:00+00
440522,440523,1984002S14108,SI,WA,TIM,-13.76,107.19,25,0,1984,1,3,1984/01/03 05:00:00+00
440523,440524,1984002S14108,SI,WA,TIM,-13.65,107.11,25,0,1984,1,3,1984/01/03 05:00:00+00
440524,440525,1984002S14108,SI,WA,TIM,-13.5,107.0,25,0,1984,1,4,1984/01/04 05:00:00+00
440525,440526,1984002S14108,SI,WA,TIM,-13.33,106.88,25,0,1984,1,4,1984/01/04 05:00:00+00
