Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
376081,376082,1974114S13164,SP,MM,TINA,-12.5,164.0,0,0,1974,4,23,1974/04/23 04:00:00+00
376082,376083,1974114S13164,SP,MM,TINA,-12.66,164.81,0,0,1974,4,23,1974/04/23 04:00:00+00
376083,376084,1974114S13164,SP,MM,TINA,-12.8,165.6,0,0,1974,4,23,1974/04/23 04:00:00+00
376084,376085,1974114S13164,SP,MM,TINA,-12.92,166.34,0,0,1974,4,23,1974/04/23 04:00:00+00
376085,376086,1974114S13164,SP,MM,TINA,-12.99,167.14,0,0,1974,4,24,1974/04/24 04:00:00+00
376086,376087,1974114S13164,SP,MM,TINA,-12.99,167.75,0,0,1974,4,24,1974/04/24 04:00:00+00
376087,376088,1974114S13164,SP,MM,TINA,-12.98,168.23,0,0,1974,4,24,1974/04/24 04:00:00+00
376088,376089,1974114S13164,SP,MM,TINA,-13.0,168.65,0,0,1974,4,24,1974/04/24 04:00:00+00
376089,376090,1974114S13164,SP,MM,TINA,-13.04,169.06,0,0,1974,4,24,1974/04/24 04:00:00+00
376090,376091,1974114S13164,SP,MM,TINA,-13.1,169.51,0,0,1974,4,24,1974/04/24 04:00:00+00
376091,376092,1974114S13164,SP,MM,TINA,-13.2,170.01,0,0,1974,4,24,1974/04/24 04:00:00+00
376092,376093,1974114S13164,SP,MM,TINA,-13.34,170.55,0,0,1974,4,24,1974/04/24 04:00:00+00
376093,376094,1974114S13164,SP,MM,TINA,-13.56,171.2,0,0,1974,4,25,1974/04/25 04:00:00+00
376094,376095,1974114S13164,SP,MM,TINA,-13.89,172.02,0,0,1974,4,25,1974/04/25 04:00:00+00
376095,376096,1974114S13164,SP,MM,TINA,-14.31,172.93,0,0,1974,4,25,1974/04/25 04:00:00+00
376096,376097,1974114S13164,SP,MM,TINA,-14.73,173.86,0,0,1974,4,25,1974/04/25 04:00:00+00
376097,376098,1974114S13164,SP,MM,TINA,-15.2,174.8,0,0,1974,4,25,1974/04/25 04:00:00+00
376098,376099,1974114S13164,SP,MM,TINA,-15.73,175.73,0,0,1974,4,25,1974/04/25 04:00:00+00
376099,376100,1974114S13164,SP,MM,TINA,-16.27,176.68,0,0,1974,4,25,1974/04/25 04:00:00+00
376100,376101,1974114S13164,SP,MM,TINA,-16.82,177.66,0,0,1974,4,25,1974/04/25 04:00:00+00
376101,376102,1974114S13164,SP,MM,TINA,-17.24,178.66,0,0,1974,4,26,1974/04/26 04:00:00+00
376102,376103,1974114S13164,SP,MM,TINA,-17.37,179.63,0,0,1974,4,26,1974/04/26 04:00:00+00
376103,376104,1974114S13164,SP,MM,TINA,-17.38,180.63,0,0,1974,4,26,1974/04/26 04:00:00+00
376104,376105,1974114S13164,SP,MM,TINA,-17.38,181.7,0,0,1974,4,26,1974/04/26 04:00:00+00
376105,376106,1974114S13164,SP,MM,TINA,-17.46,182.84,0,0,1974,4,26,1974/04/26 04:00:00+00
376106,376107,1974114S13164,SP,MM,TINA,-17.71,184.05,0,0,1974,4,26,1974/04/26 04:00:00+00
376107,376108,1974114S13164,SP,MM,TINA,-18.08,185.29,0,0,1974,4,26,1974/04/26 04:00:00+00
376108,376109,1974114S13164,SP,MM,TINA,-18.5,186.53,0,0,1974,4,26,1974/04/26 04:00:00+00
376109,376110,1974114S13164,SP,MM,TINA,-19.0,187.8,0,0,1974,4,27,1974/04/27 04:00:00+00
376110,376111,1974114S13164,SP,MM,TINA,-19.55,189.09,0,0,1974,4,27,1974/04/27 04:00:00+00
376111,376112,1974114S13164,SP,MM,TINA,-20.16,190.41,0,0,1974,4,27,1974/04/27 04:00:00+00
376112,376113,1974114S13164,SP,MM,TINA,-20.79,191.72,0,0,1974,4,27,1974/04/27 04:00:00+00
376113,376114,1974114S13164,SP,MM,TINA,-21.46,193.16,0,0,1974,4,27,1974/04/27 04:00:00+00
376114,376115,1974114S13164,SP,MM,TINA,-22.17,194.89,0,0,1974,4,27,1974/04/27 04:00:00+00
376115,376116,1974114S13164,SP,MM,TINA,-22.88,196.74,0,0,1974,4,27,1974/04/27 04:00:00+00
376116,376117,1974114S13164,SP,MM,TINA,-23.6,198.58,0,0,1974,4,27,1974/04/27 04:00:00+00
376117,376118,1974114S13164,SP,MM,TINA,-24.26,200.23,0,0,1974,4,28,1974/04/28 04:00:00+00
376118,376119,1974114S13164,SP,MM,TINA,-24.77,201.39,0,0,1974,4,28,1974/04/28 04:00:00+00
376119,376120,1974114S13164,SP,MM,TINA,-25.07,202.39,0,0,1974,4,28,1974/04/28 04:00:00+00
376120,376121,1974114S13164,SP,MM,TINA,-25.22,203.19,0,0,1974,4,28,1974/04/28 04:00:00+00
481896,481897,1990024S14117,SI,WA,TINA,-14.3,117.0,0,0,1990,1,24,1990/01/24 05:00:00+00
481897,481898,1990024S14117,SI,WA,TINA,-14.28,116.91,0,0,1990,1,24,1990/01/24 05:00:00+00
481898,481899,1990024S14117,SI,WA,TINA,-14.58,115.96,25,0,1990,1,24,1990/01/24 05:00:00+00
481899,481900,1990024S14117,SI,WA,TINA,-14.72,115.49,25,0,1990,1,24,1990/01/24 05:00:00+00
481900,481901,1990024S14117,SI,WA,TINA,-14.83,115.16,25,0,1990,1,24,1990/01/24 05:00:00+00
481901,481902,1990024S14117,SI,WA,TINA,-14.89,114.88,25,0,1990,1,24,1990/01/24 05:00:00+00
481902,481903,1990024S14117,SI,WA,TINA,-14.9,114.79,25,0,1990,1,24,1990/01/24 05:00:00+00
481903,481904,1990024S14117,SI,WA,TINA,-14.9,114.6,25,0,1990,1,24,1990/01/24 05:00:00+00
481904,481905,1990024S14117,SI,WA,TINA,-14.93,114.37,27,0,1990,1,24,1990/01/24 05:00:00+00
481905,481906,1990024S14117,SI,WA,TINA,-15.03,114.17,30,0,1990,1,25,1990/01/25 05:00:00+00
481906,481907,1990024S14117,SI,WA,TINA,-15.1,114.1,30,0,1990,1,25,1990/01/25 05:00:00+00
481907,481908,1990024S14117,SI,WA,TINA,-15.22,113.97,30,0,1990,1,25,1990/01/25 05:00:00+00
481908,481909,1990024S14117,SI,WA,TINA,-15.37,113.8,30,0,1990,1,25,1990/01/25 05:00:00+00
481909,481910,1990024S14117,SI,WA,TINA,-15.52,113.59,30,0,1990,1,25,1990/01/25 05:00:00+00
481910,481911,1990024S14117,SI,WA,TINA,-15.63,113.37,30,0,1990,1,25,1990/01/25 05:00:00+00
481911,481912,1990024S14117,SI,WA,TINA,-15.74,113.17,30,0,1990,1,25,1990/01/25 05:00:00+00
481912,481913,1990024S14117,SI,WA,TINA,-15.77,113.11,30,0,1990,1,25,1990/01/25 05:00:00+00
481913,481914,1990024S14117,SI,WA,TINA,-15.83,112.97,30,0,1990,1,25,1990/01/25 05:00:00+00
481914,481915,1990024S14117,SI,WA,TINA,-15.88,112.8,32,0,1990,1,25,1990/01/25 05:00:00+00
481915,481916,1990024S14117,SI,WA,TINA,-16.03,112.67,35,0,1990,1,26,1990/01/26 05:00:00+00
