Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
382015,382016,1975046S17124,SI,WA,TRIXIE,-16.7,123.84,0,0,1975,2,15,1975/02/15 05:00:00+00
382016,382017,1975046S17124,SI,WA,TRIXIE,-16.67,123.64,0,0,1975,2,15,1975/02/15 05:00:00+00
382017,382018,1975046S17124,SI,WA,TRIXIE,-16.65,123.43,0,0,1975,2,15,1975/02/15 05:00:00+00
382018,382019,1975046S17124,SI,WA,TRIXIE,-16.59,123.2,0,0,1975,2,15,1975/02/15 05:00:00+00
382019,382020,1975046S17124,SI,WA,TRIXIE,-16.55,122.98,0,0,1975,2,15,1975/02/15 05:00:00+00
382020,382021,1975046S17124,SI,WA,TRIXIE,-16.53,122.82,0,0,1975,2,15,1975/02/15 05:00:00+00
382021,382022,1975046S17124,SI,WA,TRIXIE,-16.53,122.66,0,0,1975,2,15,1975/02/15 05:00:00+00
382022,382023,1975046S17124,SI,WA,TRIXIE,-16.5,122.45,0,0,1975,2,15,1975/02/15 05:00:00+00
382023,382024,1975046S17124,SI,WA,TRIXIE,-16.5,122.23,0,0,1975,2,16,1975/02/16 05:00:00+00
382024,382025,1975046S17124,SI,WA,TRIXIE,-16.55,122.03,0,0,1975,2,16,1975/02/16 05:00:00+00
382025,382026,1975046S17124,SI,WA,TRIXIE,-16.63,121.83,0,0,1975,2,16,1975/02/16 05:00:00+00
382026,382027,1975046S17124,SI,WA,TRIXIE,-16.72,121.61,0,0,1975,2,16,1975/02/16 05:00:00+00
382027,382028,1975046S17124,SI,WA,TRIXIE,-16.83,121.43,0,0,1975,2,16,1975/02/16 05:00:00+00
382028,382029,1975046S17124,SI,WA,TRIXIE,-16.95,121.33,0,0,1975,2,16,1975/02/16 05:00:00+00
382029,382030,1975046S17124,SI,WA,TRIXIE,-17.07,121.27,0,0,1975,2,16,1975/02/16 05:00:00+00
382030,382031,1975046S17124,SI,WA,TRIXIE,-17.21,121.23,0,0,1975,2,16,1975/02/16 05:00:00+00
382031,382032,1975046S17124,SI,WA,TRIXIE,-17.38,121.17,0,0,1975,2,17,1975/02/17 05:00:00+00
382032,382033,1975046S17124,SI,WA,TRIXIE,-17.6,121.02,0,0,1975,2,17,1975/02/17 05:00:00+00
382033,382034,1975046S17124,SI,WA,TRIXIE,-17.85,120.83,0,0,1975,2,17,1975/02/17 05:00:00+00
382034,382035,1975046S17124,SI,WA,TRIXIE,-18.11,120.64,0,0,1975,2,17,1975/02/17 05:00:00+00
382035,382036,1975046S17124,SI,WA,TRIXIE,-18.37,120.42,0,0,1975,2,17,1975/02/17 05:00:00+00
382036,382037,1975046S17124,SI,WA,TRIXIE,-18.58,120.09,0,0,1975,2,17,1975/02/17 05:00:00+00
382037,382038,1975046S17124,SI,WA,TRIXIE,-18.79,119.69,0,0,1975,2,17,1975/02/17 05:00:00+00
382038,382039,1975046S17124,SI,WA,TRIXIE,-18.99,119.29,0,0,1975,2,17,1975/02/17 05:00:00+00
382039,382040,1975046S17124,SI,WA,TRIXIE,-19.18,118.87,0,0,1975,2,18,1975/02/18 05:00:00+00
382040,382041,1975046S17124,SI,WA,TRIXIE,-19.36,118.46,0,0,1975,2,18,1975/02/18 05:00:00+00
382041,382042,1975046S17124,SI,WA,TRIXIE,-19.53,118.05,0,0,1975,2,18,1975/02/18 05:00:00+00
382042,382043,1975046S17124,SI,WA,TRIXIE,-19.7,117.64,0,0,1975,2,18,1975/02/18 05:00:00+00
382043,382044,1975046S17124,SI,WA,TRIXIE,-19.88,117.23,0,0,1975,2,18,1975/02/18 05:00:00+00
382044,382045,1975046S17124,SI,WA,TRIXIE,-20.08,116.85,0,0,1975,2,18,1975/02/18 05:00:00+00
382045,382046,1975046S17124,SI,WA,TRIXIE,-20.28,116.46,0,0,1975,2,18,1975/02/18 05:00:00+00
382046,382047,1975046S17124,SI,WA,TRIXIE,-20.48,116.09,0,0,1975,2,18,1975/02/18 05:00:00+00
382047,382048,1975046S17124,SI,WA,TRIXIE,-20.7,115.75,0,0,1975,2,19,1975/02/19 05:00:00+00
382048,382049,1975046S17124,SI,WA,TRIXIE,-20.83,115.56,0,0,1975,2,19,1975/02/19 05:00:00+00
382049,382050,1975046S17124,SI,WA,TRIXIE,-21.0,115.41,0,0,1975,2,19,1975/02/19 05:00:00+00
382050,382051,1975046S17124,SI,WA,TRIXIE,-21.06,115.35,0,0,1975,2,19,1975/02/19 05:00:00+00
382051,382052,1975046S17124,SI,WA,TRIXIE,-21.31,115.14,0,0,1975,2,19,1975/02/19 05:00:00+00
382052,382053,1975046S17124,SI,WA,TRIXIE,-21.57,114.94,0,0,1975,2,19,1975/02/19 05:00:00+00
382053,382054,1975046S17124,SI,WA,TRIXIE,-21.69,114.88,0,0,1975,2,19,1975/02/19 05:00:00+00
382054,382055,1975046S17124,SI,WA,TRIXIE,-21.76,114.84,0,0,1975,2,19,1975/02/19 05:00:00+00
382055,382056,1975046S17124,SI,WA,TRIXIE,-21.87,114.82,0,0,1975,2,19,1975/02/19 05:00:00+00
382056,382057,1975046S17124,SI,WA,TRIXIE,-22.19,114.73,0,0,1975,2,19,1975/02/19 05:00:00+00
382057,382058,1975046S17124,SI,WA,TRIXIE,-22.59,114.69,0,0,1975,2,19,1975/02/19 05:00:00+00
382058,382059,1975046S17124,SI,WA,TRIXIE,-23.0,114.68,0,0,1975,2,19,1975/02/19 05:00:00+00
382059,382060,1975046S17124,SI,WA,TRIXIE,-23.42,114.67,0,0,1975,2,20,1975/02/20 05:00:00+00
382060,382061,1975046S17124,SI,WA,TRIXIE,-23.79,114.6,0,0,1975,2,20,1975/02/20 05:00:00+00
382061,382062,1975046S17124,SI,WA,TRIXIE,-24.12,114.51,0,0,1975,2,20,1975/02/20 05:00:00+00
382062,382063,1975046S17124,SI,WA,TRIXIE,-24.45,114.4,0,0,1975,2,20,1975/02/20 05:00:00+00
382063,382064,1975046S17124,SI,WA,TRIXIE,-24.78,114.37,0,0,1975,2,20,1975/02/20 05:00:00+00
382064,382065,1975046S17124,SI,WA,TRIXIE,-25.13,114.43,0,0,1975,2,20,1975/02/20 05:00:00+00
382065,382066,1975046S17124,SI,WA,TRIXIE,-25.47,114.57,0,0,1975,2,20,1975/02/20 05:00:00+00
382066,382067,1975046S17124,SI,WA,TRIXIE,-25.78,114.8,0,0,1975,2,20,1975/02/20 05:00:00+00
382067,382068,1975046S17124,SI,WA,TRIXIE,-26.02,115.1,0,0,1975,2,21,1975/02/21 05:00:00+00
382068,382069,1975046S17124,SI,WA,TRIXIE,-26.17,115.43,0,0,1975,2,21,1975/02/21 05:00:00+00
382069,382070,1975046S17124,SI,WA,TRIXIE,-26.29,115.83,0,0,1975,2,21,1975/02/21 05:00:00+00
382070,382071,1975046S17124,SI,WA,TRIXIE,-26.39,116.27,0,0,1975,2,21,1975/02/21 05:00:00+00
382071,382072,1975046S17124,SI,WA,TRIXIE,-26.48,116.73,0,0,1975,2,21,1975/02/21 05:00:00+00
