Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
307168,307169,1965004S13110,SI,WA,UNA,-13.0,110.2,0,0,1965,1,3,1965/01/03 05:00:00+00
307169,307170,1965004S13110,SI,WA,UNA,-13.01,110.01,0,0,1965,1,4,1965/01/04 05:00:00+00
307170,307171,1965004S13110,SI,WA,UNA,-12.99,109.9,0,0,1965,1,4,1965/01/04 05:00:00+00
307171,307172,1965004S13110,SI,WA,UNA,-13.01,109.59,0,0,1965,1,4,1965/01/04 05:00:00+00
307172,307173,1965004S13110,SI,WA,UNA,-13.02,109.15,0,0,1965,1,4,1965/01/04 05:00:00+00
307173,307174,1965004S13110,SI,WA,UNA,-13.0,108.7,0,0,1965,1,4,1965/01/04 05:00:00+00
307174,307175,1965004S13110,SI,WA,UNA,-12.99,108.4,0,0,1965,1,4,1965/01/04 05:00:00+00
307175,307176,1965004S13110,SI,WA,UNA,-12.97,108.29,0,0,1965,1,4,1965/01/04 05:00:00+00
307176,307177,1965004S13110,SI,WA,UNA,-12.97,107.77,0,0,1965,1,4,1965/01/04 05:00:00+00
307177,307178,1965004S13110,SI,WA,UNA,-12.96,107.24,0,0,1965,1,4,1965/01/04 05:00:00+00
307178,307179,1965004S13110,SI,WA,UNA,-12.97,106.67,0,0,1965,1,4,1965/01/04 05:00:00+00
307179,307180,1965004S13110,SI,WA,UNA,-12.99,106.26,0,0,1965,1,4,1965/01/04 05:00:00+00
307180,307181,1965004S13110,SI,WA,UNA,-13.02,106.03,0,0,1965,1,5,1965/01/05 05:00:00+00
307181,307182,1965004S13110,SI,WA,UNA,-13.06,105.79,0,0,1965,1,5,1965/01/05 05:00:00+00
307182,307183,1965004S13110,SI,WA,UNA,-13.06,105.47,0,0,1965,1,5,1965/01/05 05:00:00+00
307183,307184,1965004S13110,SI,WA,UNA,-13.01,105.02,0,0,1965,1,5,1965/01/05 05:00:00+00
307184,307185,1965004S13110,SI,WA,UNA,-13.0,104.54,0,0,1965,1,5,1965/01/05 05:00:00+00
307185,307186,1965004S13110,SI,WA,UNA,-13.0,104.19,0,0,1965,1,5,1965/01/05 05:00:00+00
307186,307187,1965004S13110,SI,WA,UNA,-13.0,104.0,0,0,1965,1,5,1965/01/05 05:00:00+00
307187,307188,1965004S13110,SI,WA,UNA,-13.0,103.36,0,0,1965,1,5,1965/01/05 05:00:00+00
307188,307189,1965004S13110,SI,WA,UNA,-12.99,102.64,0,0,1965,1,5,1965/01/05 05:00:00+00
307189,307190,1965004S13110,SI,WA,UNA,-13.0,101.83,0,0,1965,1,5,1965/01/05 05:00:00+00
373581,373582,1973349S14157,SP,EA,UNA,-13.9,156.8,0,0,1973,12,14,1973/12/14 05:00:00+00
373582,373583,1973349S14157,SP,EA,UNA,-13.92,156.72,0,0,1973,12,15,1973/12/15 05:00:00+00
373583,373584,1973349S14157,SP,EA,UNA,-13.99,156.53,0,0,1973,12,15,1973/12/15 05:00:00+00
373584,373585,1973349S14157,SP,EA,UNA,-14.02,156.43,0,0,1973,12,15,1973/12/15 05:00:00+00
373585,373586,1973349S14157,SP,EA,UNA,-14.08,156.23,0,0,1973,12,15,1973/12/15 05:00:00+00
373586,373587,1973349S14157,SP,EA,UNA,-14.11,156.13,0,0,1973,12,15,1973/12/15 05:00:00+00
373587,373588,1973349S14157,SP,EA,UNA,-14.16,155.93,0,0,1973,12,15,1973/12/15 05:00:00+00
373588,373589,1973349S14157,SP,EA,UNA,-14.17,155.83,0,0,1973,12,15,1973/12/15 05:00:00+00
373589,373590,1973349S14157,SP,EA,UNA,-14.19,155.63,0,0,1973,12,15,1973/12/15 05:00:00+00
373590,373591,1973349S14157,SP,EA,UNA,-14.2,155.53,0,0,1973,12,15,1973/12/15 05:00:00+00
373591,373592,1973349S14157,SP,EA,UNA,-14.23,155.33,0,0,1973,12,15,1973/12/15 05:00:00+00
373592,373593,1973349S14157,SP,EA,UNA,-14.25,155.23,0,0,1973,12,15,1973/12/15 05:00:00+00
373593,373594,1973349S14157,SP,EA,UNA,-14.29,155.03,0,0,1973,12,15,1973/12/15 05:00:00+00
373594,373595,1973349S14157,SP,EA,UNA,-14.3,154.93,0,0,1973,12,15,1973/12/15 05:00:00+00
373595,373596,1973349S14157,SP,EA,UNA,-14.3,154.75,0,0,1973,12,15,1973/12/15 05:00:00+00
373596,373597,1973349S14157,SP,EA,UNA,-14.3,154.67,0,0,1973,12,15,1973/12/15 05:00:00+00
373597,373598,1973349S14157,SP,EA,UNA,-14.3,154.52,0,0,1973,12,15,1973/12/15 05:00:00+00
373598,373599,1973349S14157,SP,EA,UNA,-14.31,154.45,0,0,1973,12,16,1973/12/16 05:00:00+00
373599,373600,1973349S14157,SP,EA,UNA,-14.35,154.29,0,0,1973,12,16,1973/12/16 05:00:00+00
373600,373601,1973349S14157,SP,EA,UNA,-14.22,154.24,0,0,1973,12,16,1973/12/16 05:00:00+00
373601,373602,1973349S14157,SP,EA,UNA,-14.13,154.12,0,0,1973,12,16,1973/12/16 05:00:00+00
373602,373603,1973349S14157,SP,EA,UNA,-14.09,154.08,0,0,1973,12,16,1973/12/16 05:00:00+00
373603,373604,1973349S14157,SP,EA,UNA,-14.13,153.96,0,0,1973,12,16,1973/12/16 05:00:00+00
373604,373605,1973349S14157,SP,EA,UNA,-14.16,153.89,0,0,1973,12,16,1973/12/16 05:00:00+00
373605,373606,1973349S14157,SP,EA,UNA,-14.23,153.72,0,0,1973,12,16,1973/12/16 05:00:00+00
373606,373607,1973349S14157,SP,EA,UNA,-14.25,153.66,0,0,1973,12,16,1973/12/16 05:00:00+00
373607,373608,1973349S14157,SP,EA,UNA,-14.25,153.47,0,0,1973,12,16,1973/12/16 05:00:00+00
373608,373609,1973349S14157,SP,EA,UNA,-14.22,153.38,0,0,1973,12,16,1973/12/16 05:00:00+00
373609,373610,1973349S14157,SP,EA,UNA,-14.15,153.14,0,0,1973,12,16,1973/12/16 05:00:00+00
373610,373611,1973349S14157,SP,EA,UNA,-14.13,153.0,0,0,1973,12,16,1973/12/16 05:00:00+00
373611,373612,1973349S14157,SP,EA,UNA,-14.08,152.74,0,0,1973,12,16,1973/12/16 05:00:00+00
373612,373613,1973349S14157,SP,EA,UNA,-14.06,152.62,0,0,1973,12,16,1973/12/16 05:00:00+00
373613,373614,1973349S14157,SP,EA,UNA,-14.05,152.35,0,0,1973,12,16,1973/12/16 05:00:00+00
373614,373615,1973349S14157,SP,EA,UNA,-14.06,152.22,0,0,1973,12,17,1973/12/17 05:00:00+00
373615,373616,1973349S14157,SP,EA,UNA,-14.11,151.93,0,0,1973,12,17,1973/12/17 05:00:00+00
373616,373617,1973349S14157,SP,EA,UNA,-14.14,151.78,0,0,1973,12,17,1973/12/17 05:00:00+00
373617,373618,1973349S14157,SP,EA,UNA,-14.25,151.46,0,0,1973,12,17,1973/12/17 05:00:00+00
373618,373619,1973349S14157,SP,EA,UNA,-14.32,151.3,0,0,1973,12,17,1973/12/17 05:00:00+00
373619,373620,1973349S14157,SP,EA,UNA,-14.48,150.93,0,0,1973,12,17,1973/12/17 05:00:00+00
373620,373621,1973349S14157,SP,EA,UNA,-14.57,150.72,0,0,1973,12,17,1973/12/17 05:00:00+00
373621,373622,1973349S14157,SP,EA,UNA,-14.78,150.3,0,0,1973,12,17,1973/12/17 05:00:00+00
