Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
637446,637447,2013224N12220,EP,MM,UNALA,12.0,220.4,20,1010,2013,8,12,2013/08/12 04:00:00+00
637447,637448,2013224N12220,EP,CP,UNALA,12.02,219.92,22,1009,2013,8,12,2013/08/12 04:00:00+00
637448,637449,2013224N12220,EP,CP,UNALA,12.0,219.4,25,1009,2013,8,12,2013/08/12 04:00:00+00
637449,637450,2013224N12220,EP,CP,UNALA,11.92,218.81,25,1009,2013,8,12,2013/08/12 04:00:00+00
637450,637451,2013224N12220,EP,CP,UNALA,11.8,218.2,25,1009,2013,8,12,2013/08/12 04:00:00+00
637451,637452,2013224N12220,EP,CP,UNALA,11.67,217.63,25,1008,2013,8,12,2013/08/12 04:00:00+00
637452,637453,2013224N12220,EP,CP,UNALA,11.5,217.1,25,1008,2013,8,13,2013/08/13 04:00:00+00
637453,637454,2013224N12220,EP,CP,UNALA,11.23,216.69,25,1008,2013,8,13,2013/08/13 04:00:00+00
637454,637455,2013224N12220,EP,CP,UNALA,11.0,216.2,25,1008,2013,8,13,2013/08/13 04:00:00+00
637455,637456,2013224N12220,EP,CP,UNALA,10.96,215.41,25,1008,2013,8,13,2013/08/13 04:00:00+00
637456,637457,2013224N12220,EP,CP,UNALA,11.0,214.5,25,1008,2013,8,13,2013/08/13 04:00:00+00
637457,637458,2013224N12220,EP,CP,UNALA,10.98,213.65,25,1008,2013,8,13,2013/08/13 04:00:00+00
637458,637459,2013224N12220,EP,CP,UNALA,11.0,212.8,25,1009,2013,8,13,2013/08/13 04:00:00+00
637459,637460,2013224N12220,EP,CP,UNALA,11.09,211.96,25,1009,2013,8,13,2013/08/13 04:00:00+00
637460,637461,2013224N12220,EP,CP,UNALA,11.2,211.1,25,1009,2013,8,14,2013/08/14 04:00:00+00
637461,637462,2013224N12220,EP,CP,UNALA,11.23,210.21,25,1009,2013,8,14,2013/08/14 04:00:00+00
637462,637463,2013224N12220,EP,CP,UNALA,11.3,209.3,25,1009,2013,8,14,2013/08/14 04:00:00+00
637463,637464,2013224N12220,EP,CP,UNALA,11.46,208.38,25,1009,2013,8,14,2013/08/14 04:00:00+00
637464,637465,2013224N12220,EP,CP,UNALA,11.7,207.5,25,1009,2013,8,14,2013/08/14 04:00:00+00
637465,637466,2013224N12220,EP,CP,UNALA,12.01,206.76,25,1009,2013,8,14,2013/08/14 04:00:00+00
637466,637467,2013224N12220,EP,CP,UNALA,12.3,206.0,25,1009,2013,8,14,2013/08/14 04:00:00+00
637467,637468,2013224N12220,EP,CP,UNALA,12.45,205.06,25,1009,2013,8,14,2013/08/14 04:00:00+00
637468,637469,2013224N12220,EP,CP,UNALA,12.5,204.1,25,1010,2013,8,15,2013/08/15 04:00:00+00
637469,637470,2013224N12220,EP,CP,UNALA,12.53,203.28,27,1010,2013,8,15,2013/08/15 04:00:00+00
637470,637471,2013224N12220,EP,CP,UNALA,12.5,202.5,30,1010,2013,8,15,2013/08/15 04:00:00+00
637471,637472,2013224N12220,EP,CP,UNALA,12.4,201.69,30,1010,2013,8,15,2013/08/15 04:00:00+00
637472,637473,2013224N12220,EP,CP,UNALA,12.3,200.9,30,1010,2013,8,15,2013/08/15 04:00:00+00
637473,637474,2013224N12220,EP,CP,UNALA,12.27,200.14,30,1010,2013,8,15,2013/08/15 04:00:00+00
637474,637475,2013224N12220,EP,CP,UNALA,12.3,199.4,30,1010,2013,8,15,2013/08/15 04:00:00+00
637475,637476,2013224N12220,EP,CP,UNALA,12.39,198.66,30,1010,2013,8,15,2013/08/15 04:00:00+00
637476,637477,2013224N12220,EP,CP,UNALA,12.5,197.9,30,1010,2013,8,16,2013/08/16 04:00:00+00
637477,637478,2013224N12220,EP,CP,UNALA,12.56,197.07,30,1010,2013,8,16,2013/08/16 04:00:00+00
637478,637479,2013224N12220,EP,CP,UNALA,12.6,196.2,30,1010,2013,8,16,2013/08/16 04:00:00+00
637479,637480,2013224N12220,EP,CP,UNALA,12.64,195.27,27,1010,2013,8,16,2013/08/16 04:00:00+00
637480,637481,2013224N12220,EP,CP,UNALA,12.7,194.4,25,1010,2013,8,16,2013/08/16 04:00:00+00
637481,637482,2013224N12220,EP,CP,UNALA,12.83,193.71,25,1010,2013,8,16,2013/08/16 04:00:00+00
637482,637483,2013224N12220,EP,CP,UNALA,13.0,193.1,25,1010,2013,8,16,2013/08/16 04:00:00+00
637483,637484,2013224N12220,EP,CP,UNALA,13.21,192.49,25,1010,2013,8,16,2013/08/16 04:00:00+00
637484,637485,2013224N12220,EP,CP,UNALA,13.4,191.9,25,1010,2013,8,17,2013/08/17 04:00:00+00
637485,637486,2013224N12220,EP,CP,UNALA,13.5,191.35,25,1010,2013,8,17,2013/08/17 04:00:00+00
637486,637487,2013224N12220,EP,CP,UNALA,13.6,190.8,25,1010,2013,8,17,2013/08/17 04:00:00+00
637487,637488,2013224N12220,EP,CP,UNALA,13.78,190.22,25,1010,2013,8,17,2013/08/17 04:00:00+00
637488,637489,2013224N12220,EP,CP,UNALA,14.0,189.6,25,1010,2013,8,17,2013/08/17 04:00:00+00
637489,637490,2013224N12220,EP,CP,UNALA,14.19,188.95,25,1010,2013,8,17,2013/08/17 04:00:00+00
637490,637491,2013224N12220,EP,CP,UNALA,14.4,188.3,25,1010,2013,8,17,2013/08/17 04:00:00+00
637491,637492,2013224N12220,EP,CP,UNALA,14.64,187.69,25,1009,2013,8,17,2013/08/17 04:00:00+00
637492,637493,2013224N12220,EP,CP,UNALA,14.9,187.1,25,1009,2013,8,18,2013/08/18 04:00:00+00
637493,637494,2013224N12220,EP,CP,UNALA,15.15,186.53,27,1008,2013,8,18,2013/08/18 04:00:00+00
637494,637495,2013224N12220,EP,CP,UNALA,15.4,186.0,30,1008,2013,8,18,2013/08/18 04:00:00+00
637495,637496,2013224N12220,EP,CP,UNALA,15.64,185.51,30,1007,2013,8,18,2013/08/18 04:00:00+00
637496,637497,2013224N12220,EP,CP,UNALA,15.9,184.97,30,1007,2013,8,18,2013/08/18 04:00:00+00
637497,637498,2013224N12220,EP,CP,UNALA,16.24,184.4,30,1006,2013,8,18,2013/08/18 04:00:00+00
637498,637499,2013224N12220,EP,CP,UNALA,16.58,183.75,30,1006,2013,8,18,2013/08/18 04:00:00+00
