Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
654571,654572,2016040S12094,SI,WA,URIAH,-11.7,94.0,0,0,2016,2,9,2016/02/09 05:00:00+00
654572,654573,2016040S12094,SI,WA,URIAH,-11.66,94.07,0,0,2016,2,9,2016/02/09 05:00:00+00
654573,654574,2016040S12094,SI,WA,URIAH,-11.9,94.0,0,0,2016,2,9,2016/02/09 05:00:00+00
654574,654575,2016040S12094,SI,WA,URIAH,-12.57,93.71,0,0,2016,2,9,2016/02/09 05:00:00+00
654575,654576,2016040S12094,SI,WA,URIAH,-13.21,93.41,0,0,2016,2,9,2016/02/09 05:00:00+00
654576,654577,2016040S12094,SI,WA,URIAH,-13.12,93.33,0,0,2016,2,9,2016/02/09 05:00:00+00
654577,654578,2016040S12094,SI,WA,URIAH,-12.63,93.4,0,0,2016,2,9,2016/02/09 05:00:00+00
654578,654579,2016040S12094,SI,WA,URIAH,-12.03,93.6,0,0,2016,2,9,2016/02/09 05:00:00+00
654579,654580,2016040S12094,SI,WA,URIAH,-11.6,93.9,0,0,2016,2,10,2016/02/10 05:00:00+00
654580,654581,2016040S12094,SI,WA,URIAH,-11.65,94.41,0,0,2016,2,10,2016/02/10 05:00:00+00
654581,654582,2016040S12094,SI,WA,URIAH,-11.7,94.66,0,0,2016,2,10,2016/02/10 05:00:00+00
654582,654583,2016040S12094,SI,WA,URIAH,-11.51,94.07,0,0,2016,2,10,2016/02/10 05:00:00+00
654583,654584,2016040S12094,SI,WA,URIAH,-11.2,93.5,0,0,2016,2,10,2016/02/10 05:00:00+00
654584,654585,2016040S12094,SI,WA,URIAH,-10.81,93.82,0,0,2016,2,10,2016/02/10 05:00:00+00
654585,654586,2016040S12094,SI,WA,URIAH,-10.42,94.36,25,1004,2016,2,10,2016/02/10 05:00:00+00
654586,654587,2016040S12094,SI,WA,URIAH,-10.36,94.71,25,1004,2016,2,10,2016/02/10 05:00:00+00
654587,654588,2016040S12094,SI,WA,URIAH,-10.25,95.04,25,1004,2016,2,11,2016/02/11 05:00:00+00
654588,654589,2016040S12094,SI,WA,URIAH,-9.96,95.41,25,1004,2016,2,11,2016/02/11 05:00:00+00
654589,654590,2016040S12094,SI,WA,URIAH,-9.78,95.8,25,1004,2016,2,11,2016/02/11 05:00:00+00
654590,654591,2016040S12094,SI,WA,URIAH,-9.83,96.25,27,1002,2016,2,11,2016/02/11 05:00:00+00
654591,654592,2016040S12094,SI,WA,URIAH,-9.93,96.77,30,1000,2016,2,11,2016/02/11 05:00:00+00
654592,654593,2016040S12094,SI,WA,URIAH,-9.95,97.33,30,1000,2016,2,11,2016/02/11 05:00:00+00
654593,654594,2016040S12094,SI,WA,URIAH,-10.0,97.77,30,1000,2016,2,11,2016/02/11 05:00:00+00
