Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208487,208488,1945250N12128,WP,MM,URSULA,12.4,128.0,0,0,1945,9,7,1945/09/07 04:00:00+00
208488,208489,1945250N12128,WP,MM,URSULA,13.8,129.24,25,0,1945,9,7,1945/09/07 04:00:00+00
208489,208490,1945250N12128,WP,MM,URSULA,14.1,128.85,27,0,1945,9,7,1945/09/07 04:00:00+00
208490,208491,1945250N12128,WP,MM,URSULA,14.31,128.35,30,0,1945,9,7,1945/09/07 04:00:00+00
208491,208492,1945250N12128,WP,MM,URSULA,14.55,127.94,30,0,1945,9,7,1945/09/07 04:00:00+00
208492,208493,1945250N12128,WP,MM,URSULA,14.79,127.39,30,0,1945,9,8,1945/09/08 04:00:00+00
208493,208494,1945250N12128,WP,MM,URSULA,15.17,126.88,32,0,1945,9,8,1945/09/08 04:00:00+00
208494,208495,1945250N12128,WP,MM,URSULA,15.64,126.44,35,0,1945,9,8,1945/09/08 04:00:00+00
208495,208496,1945250N12128,WP,MM,URSULA,16.15,126.09,37,0,1945,9,8,1945/09/08 04:00:00+00
208496,208497,1945250N12128,WP,MM,URSULA,16.62,125.8,40,0,1945,9,8,1945/09/08 04:00:00+00
208497,208498,1945250N12128,WP,MM,URSULA,16.96,125.57,42,0,1945,9,8,1945/09/08 04:00:00+00
208498,208499,1945250N12128,WP,MM,URSULA,17.28,125.38,45,0,1945,9,8,1945/09/08 04:00:00+00
208499,208500,1945250N12128,WP,MM,URSULA,17.67,125.16,47,0,1945,9,8,1945/09/08 04:00:00+00
208500,208501,1945250N12128,WP,MM,URSULA,18.03,124.94,50,0,1945,9,9,1945/09/09 04:00:00+00
208501,208502,1945250N12128,WP,MM,URSULA,18.27,124.72,52,0,1945,9,9,1945/09/09 04:00:00+00
208502,208503,1945250N12128,WP,MM,URSULA,18.45,124.5,55,0,1945,9,9,1945/09/09 04:00:00+00
208503,208504,1945250N12128,WP,MM,URSULA,18.59,124.27,57,0,1945,9,9,1945/09/09 04:00:00+00
208504,208505,1945250N12128,WP,MM,URSULA,18.8,124.02,60,0,1945,9,9,1945/09/09 04:00:00+00
208505,208506,1945250N12128,WP,MM,URSULA,19.23,123.73,62,0,1945,9,9,1945/09/09 04:00:00+00
208506,208507,1945250N12128,WP,MM,URSULA,19.76,123.45,65,0,1945,9,9,1945/09/09 04:00:00+00
208507,208508,1945250N12128,WP,MM,URSULA,20.28,123.22,67,0,1945,9,9,1945/09/09 04:00:00+00
208508,208509,1945250N12128,WP,MM,URSULA,20.75,123.0,70,0,1945,9,10,1945/09/10 04:00:00+00
208509,208510,1945250N12128,WP,MM,URSULA,21.1,122.73,77,0,1945,9,10,1945/09/10 04:00:00+00
208510,208511,1945250N12128,WP,MM,URSULA,21.39,122.46,85,0,1945,9,10,1945/09/10 04:00:00+00
208511,208512,1945250N12128,WP,MM,URSULA,21.7,122.2,87,0,1945,9,10,1945/09/10 04:00:00+00
208512,208513,1945250N12128,WP,MM,URSULA,22.03,121.93,90,0,1945,9,10,1945/09/10 04:00:00+00
