Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
238836,238837,1952289N15128,WP,MM,VAE,15.0,128.0,0,0,1952,10,15,1952/10/15 04:00:00+00
238837,238838,1952289N15128,WP,MM,VAE,14.99,127.5,0,0,1952,10,15,1952/10/15 04:00:00+00
238838,238839,1952289N15128,WP,MM,VAE,15.0,127.0,0,0,1952,10,15,1952/10/15 04:00:00+00
238839,238840,1952289N15128,WP,MM,VAE,15.04,126.5,0,0,1952,10,15,1952/10/15 04:00:00+00
238840,238841,1952289N15128,WP,MM,VAE,15.0,126.0,0,0,1952,10,15,1952/10/15 04:00:00+00
238841,238842,1952289N15128,WP,MM,VAE,14.79,125.5,0,0,1952,10,15,1952/10/15 04:00:00+00
238842,238843,1952289N15128,WP,MM,VAE,14.5,125.0,0,0,1952,10,16,1952/10/16 04:00:00+00
238843,238844,1952289N15128,WP,MM,VAE,14.27,124.52,0,0,1952,10,16,1952/10/16 04:00:00+00
238844,238845,1952289N15128,WP,MM,VAE,14.0,124.0,0,0,1952,10,16,1952/10/16 04:00:00+00
238845,238846,1952289N15128,WP,MM,VAE,13.6,123.38,0,0,1952,10,16,1952/10/16 04:00:00+00
238846,238847,1952289N15128,WP,MM,VAE,13.18,122.81,0,0,1952,10,16,1952/10/16 04:00:00+00
238847,238848,1952289N15128,WP,MM,VAE,13.02,122.48,0,0,1952,10,16,1952/10/16 04:00:00+00
238848,238849,1952289N15128,WP,MM,VAE,12.97,122.22,0,0,1952,10,16,1952/10/16 04:00:00+00
238849,238850,1952289N15128,WP,MM,VAE,12.9,121.91,0,0,1952,10,16,1952/10/16 04:00:00+00
238850,238851,1952289N15128,WP,MM,VAE,12.88,121.23,25,0,1952,10,17,1952/10/17 04:00:00+00
238851,238852,1952289N15128,WP,MM,VAE,12.91,120.57,27,0,1952,10,17,1952/10/17 04:00:00+00
238852,238853,1952289N15128,WP,MM,VAE,12.96,119.95,30,0,1952,10,17,1952/10/17 04:00:00+00
238853,238854,1952289N15128,WP,MM,VAE,13.02,119.37,32,0,1952,10,17,1952/10/17 04:00:00+00
238854,238855,1952289N15128,WP,MM,VAE,13.1,118.9,35,0,1952,10,17,1952/10/17 04:00:00+00
238855,238856,1952289N15128,WP,MM,VAE,13.18,118.37,35,0,1952,10,17,1952/10/17 04:00:00+00
238856,238857,1952289N15128,WP,MM,VAE,13.24,117.83,35,0,1952,10,17,1952/10/17 04:00:00+00
238857,238858,1952289N15128,WP,MM,VAE,13.24,117.36,37,0,1952,10,17,1952/10/17 04:00:00+00
238858,238859,1952289N15128,WP,MM,VAE,13.2,116.92,40,0,1952,10,18,1952/10/18 04:00:00+00
238859,238860,1952289N15128,WP,MM,VAE,13.16,116.48,40,0,1952,10,18,1952/10/18 04:00:00+00
238860,238861,1952289N15128,WP,MM,VAE,13.11,116.08,40,0,1952,10,18,1952/10/18 04:00:00+00
238861,238862,1952289N15128,WP,MM,VAE,13.05,115.75,42,0,1952,10,18,1952/10/18 04:00:00+00
238862,238863,1952289N15128,WP,MM,VAE,12.98,115.42,45,0,1952,10,18,1952/10/18 04:00:00+00
238863,238864,1952289N15128,WP,MM,VAE,12.92,115.0,47,0,1952,10,18,1952/10/18 04:00:00+00
238864,238865,1952289N15128,WP,MM,VAE,12.86,114.55,50,0,1952,10,18,1952/10/18 04:00:00+00
238865,238866,1952289N15128,WP,MM,VAE,12.78,114.11,52,0,1952,10,18,1952/10/18 04:00:00+00
238866,238867,1952289N15128,WP,MM,VAE,12.7,113.68,55,0,1952,10,19,1952/10/19 04:00:00+00
238867,238868,1952289N15128,WP,MM,VAE,12.62,113.29,57,0,1952,10,19,1952/10/19 04:00:00+00
238868,238869,1952289N15128,WP,MM,VAE,12.53,112.9,60,0,1952,10,19,1952/10/19 04:00:00+00
238869,238870,1952289N15128,WP,MM,VAE,12.41,112.5,60,0,1952,10,19,1952/10/19 04:00:00+00
238870,238871,1952289N15128,WP,MM,VAE,12.3,112.1,60,0,1952,10,19,1952/10/19 04:00:00+00
238871,238872,1952289N15128,WP,MM,VAE,12.21,111.72,60,0,1952,10,19,1952/10/19 04:00:00+00
238872,238873,1952289N15128,WP,MM,VAE,12.13,111.37,60,0,1952,10,19,1952/10/19 04:00:00+00
