Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
289554,289555,1962175N17256,EP,MM,VALERIE,16.6,-103.6,75,0,1962,6,24,1962/06/24 04:00:00+00
289555,289556,1962175N17256,EP,MM,VALERIE,17.0,-104.0,75,0,1962,6,24,1962/06/24 04:00:00+00
289556,289557,1962175N17256,EP,MM,VALERIE,17.4,-104.4,75,0,1962,6,24,1962/06/24 04:00:00+00
289557,289558,1962175N17256,EP,MM,VALERIE,17.8,-104.77,75,0,1962,6,24,1962/06/24 04:00:00+00
289558,289559,1962175N17256,EP,MM,VALERIE,18.2,-105.1,75,0,1962,6,24,1962/06/24 04:00:00+00
289559,289560,1962175N17256,EP,MM,VALERIE,18.6,-105.37,75,0,1962,6,24,1962/06/24 04:00:00+00
289560,289561,1962175N17256,EP,MM,VALERIE,18.99,-105.6,75,0,1962,6,24,1962/06/24 04:00:00+00
289561,289562,1962175N17256,EP,MM,VALERIE,19.38,-105.81,75,0,1962,6,24,1962/06/24 04:00:00+00
289562,289563,1962175N17256,EP,MM,VALERIE,19.8,-106.0,75,0,1962,6,25,1962/06/25 04:00:00+00
289563,289564,1962175N17256,EP,MM,VALERIE,20.28,-106.2,75,0,1962,6,25,1962/06/25 04:00:00+00
289564,289565,1962175N17256,EP,MM,VALERIE,20.79,-106.39,75,0,1962,6,25,1962/06/25 04:00:00+00
289565,289566,1962175N17256,EP,MM,VALERIE,21.26,-106.53,75,0,1962,6,25,1962/06/25 04:00:00+00
289566,289567,1962175N17256,EP,MM,VALERIE,21.8,-106.6,75,0,1962,6,25,1962/06/25 04:00:00+00
289567,289568,1962175N17256,EP,MM,VALERIE,22.55,-106.6,75,0,1962,6,25,1962/06/25 04:00:00+00
289568,289569,1962175N17256,EP,MM,VALERIE,23.4,-106.5,75,0,1962,6,25,1962/06/25 04:00:00+00
289569,289570,1962175N17256,EP,MM,VALERIE,24.22,-106.28,75,0,1962,6,25,1962/06/25 04:00:00+00
