Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
568701,568702,2001361N01106,WP,MM,VAMEI,1.4,106.2,25,1005,2001,12,26,2001/12/26 05:00:00+00
568702,568703,2001361N01106,WP,MM,VAMEI,1.46,105.95,30,1001,2001,12,26,2001/12/26 05:00:00+00
568703,568704,2001361N01106,WP,MM,VAMEI,1.5,105.7,35,997,2001,12,26,2001/12/26 05:00:00+00
568704,568705,2001361N01106,WP,MM,VAMEI,1.51,105.44,50,986,2001,12,26,2001/12/26 05:00:00+00
568705,568706,2001361N01106,WP,MM,VAMEI,1.5,105.16,65,976,2001,12,27,2001/12/27 05:00:00+00
568706,568707,2001361N01106,WP,MM,VAMEI,1.49,104.78,65,976,2001,12,27,2001/12/27 05:00:00+00
568707,568708,2001361N01106,WP,MM,VAMEI,1.5,104.4,65,976,2001,12,27,2001/12/27 05:00:00+00
568708,568709,2001361N01106,WP,MM,VAMEI,1.53,104.1,55,983,2001,12,27,2001/12/27 05:00:00+00
568709,568710,2001361N01106,WP,MM,VAMEI,1.57,103.8,45,991,2001,12,27,2001/12/27 05:00:00+00
568710,568711,2001361N01106,WP,MM,VAMEI,1.6,103.43,42,992,2001,12,27,2001/12/27 05:00:00+00
568711,568712,2001361N01106,WP,MM,VAMEI,1.64,103.04,40,994,2001,12,27,2001/12/27 05:00:00+00
568712,568713,2001361N01106,WP,MM,VAMEI,1.68,102.69,35,997,2001,12,27,2001/12/27 05:00:00+00
568713,568714,2001361N01106,WP,MM,VAMEI,1.73,102.3,30,1000,2001,12,28,2001/12/28 05:00:00+00
568714,568715,2001361N01106,WP,MM,VAMEI,1.8,101.85,30,1000,2001,12,28,2001/12/28 05:00:00+00
568715,568716,2001361N01106,WP,MM,VAMEI,1.84,101.38,30,1000,2001,12,28,2001/12/28 05:00:00+00
568716,568717,2001361N01106,WP,MM,VAMEI,1.85,101.05,27,1001,2001,12,28,2001/12/28 05:00:00+00
568717,568718,2001361N01106,WP,MM,VAMEI,1.9,100.7,25,1002,2001,12,28,2001/12/28 05:00:00+00
568718,568719,2001361N01106,WP,MM,VAMEI,1.93,100.34,25,1002,2001,12,28,2001/12/28 05:00:00+00
568719,568720,2001361N01106,NI,BB,VAMEI,2.0,99.9,25,1002,2001,12,28,2001/12/28 05:00:00+00
568720,568721,2001361N01106,NI,BB,VAMEI,2.14,99.3,22,1003,2001,12,28,2001/12/28 05:00:00+00
568721,568722,2001361N01106,NI,BB,VAMEI,2.3,98.7,20,1004,2001,12,29,2001/12/29 05:00:00+00
568722,568723,2001361N01106,NI,BB,VAMEI,2.46,98.27,20,1004,2001,12,29,2001/12/29 05:00:00+00
568723,568724,2001361N01106,NI,BB,VAMEI,2.6,97.9,20,1004,2001,12,29,2001/12/29 05:00:00+00
568724,568725,2001361N01106,NI,BB,VAMEI,2.68,97.54,22,1003,2001,12,29,2001/12/29 05:00:00+00
568725,568726,2001361N01106,NI,BB,VAMEI,2.8,97.1,25,1002,2001,12,29,2001/12/29 05:00:00+00
568726,568727,2001361N01106,NI,BB,VAMEI,3.03,96.44,25,1002,2001,12,29,2001/12/29 05:00:00+00
568727,568728,2001361N01106,NI,BB,VAMEI,3.3,95.7,25,1002,2001,12,29,2001/12/29 05:00:00+00
568728,568729,2001361N01106,NI,BB,VAMEI,3.57,94.97,25,1002,2001,12,29,2001/12/29 05:00:00+00
568729,568730,2001361N01106,NI,BB,VAMEI,3.8,94.3,25,1002,2001,12,30,2001/12/30 05:00:00+00
568730,568731,2001361N01106,NI,BB,VAMEI,3.96,93.75,25,1002,2001,12,30,2001/12/30 05:00:00+00
568731,568732,2001361N01106,NI,BB,VAMEI,4.1,93.3,25,1002,2001,12,30,2001/12/30 05:00:00+00
568732,568733,2001361N01106,NI,BB,VAMEI,4.26,92.88,25,1002,2001,12,30,2001/12/30 05:00:00+00
568733,568734,2001361N01106,NI,BB,VAMEI,4.4,92.5,25,1002,2001,12,30,2001/12/30 05:00:00+00
568734,568735,2001361N01106,NI,BB,VAMEI,4.52,92.14,30,1001,2001,12,30,2001/12/30 05:00:00+00
568735,568736,2001361N01106,NI,BB,VAMEI,4.6,91.8,35,1000,2001,12,30,2001/12/30 05:00:00+00
568736,568737,2001361N01106,NI,BB,VAMEI,4.62,91.48,35,998,2001,12,30,2001/12/30 05:00:00+00
568737,568738,2001361N01106,NI,BB,VAMEI,4.6,91.2,35,997,2001,12,31,2001/12/31 05:00:00+00
568738,568739,2001361N01106,NI,BB,VAMEI,4.57,90.98,35,997,2001,12,31,2001/12/31 05:00:00+00
568739,568740,2001361N01106,NI,BB,VAMEI,4.5,90.8,35,997,2001,12,31,2001/12/31 05:00:00+00
568740,568741,2001361N01106,NI,BB,VAMEI,4.37,90.64,35,997,2001,12,31,2001/12/31 05:00:00+00
568741,568742,2001361N01106,NI,BB,VAMEI,4.2,90.5,35,997,2001,12,31,2001/12/31 05:00:00+00
568742,568743,2001361N01106,NI,BB,VAMEI,4.01,90.4,32,998,2001,12,31,2001/12/31 05:00:00+00
568743,568744,2001361N01106,NI,BB,VAMEI,3.8,90.3,30,1000,2001,12,31,2001/12/31 05:00:00+00
568744,568745,2001361N01106,NI,BB,VAMEI,3.6,90.19,27,1001,2001,12,31,2001/12/31 05:00:00+00
568745,568746,2001361N01106,NI,BB,VAMEI,3.4,90.0,25,1002,2002,1,1,2002/01/01 05:00:00+00
568746,568747,2001361N01106,NI,BB,VAMEI,3.2,89.69,25,1002,2002,1,1,2002/01/01 05:00:00+00
