Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
675116,675117,2019160N11073,NI,AS,VAYU,10.5,72.7,15,0,2019,6,8,2019/06/08 04:00:00+00
675117,675118,2019160N11073,NI,AS,VAYU,10.24,72.27,17,0,2019,6,8,2019/06/08 04:00:00+00
675118,675119,2019160N11073,NI,AS,VAYU,10.1,71.9,20,1004,2019,6,9,2019/06/09 04:00:00+00
675119,675120,2019160N11073,NI,AS,VAYU,10.18,71.61,20,1004,2019,6,9,2019/06/09 04:00:00+00
675120,675121,2019160N11073,NI,AS,VAYU,10.4,71.4,20,1004,2019,6,9,2019/06/09 04:00:00+00
675121,675122,2019160N11073,NI,AS,VAYU,10.63,71.2,22,1003,2019,6,9,2019/06/09 04:00:00+00
675122,675123,2019160N11073,NI,AS,VAYU,10.9,71.1,25,1002,2019,6,9,2019/06/09 04:00:00+00
675123,675124,2019160N11073,NI,AS,VAYU,11.19,71.14,27,1001,2019,6,9,2019/06/09 04:00:00+00
675124,675125,2019160N11073,NI,AS,VAYU,11.5,71.2,30,1000,2019,6,9,2019/06/09 04:00:00+00
675125,675126,2019160N11073,NI,AS,VAYU,11.8,71.12,30,999,2019,6,9,2019/06/09 04:00:00+00
675126,675127,2019160N11073,NI,AS,VAYU,12.02,71.0,30,999,2019,6,10,2019/06/10 04:00:00+00
675127,675128,2019160N11073,NI,AS,VAYU,12.43,70.93,32,997,2019,6,10,2019/06/10 04:00:00+00
675128,675129,2019160N11073,NI,AS,VAYU,12.61,70.84,35,995,2019,6,10,2019/06/10 04:00:00+00
675129,675130,2019160N11073,NI,AS,VAYU,12.92,70.77,40,994,2019,6,10,2019/06/10 04:00:00+00
675130,675131,2019160N11073,NI,AS,VAYU,13.3,70.7,45,994,2019,6,10,2019/06/10 04:00:00+00
675131,675132,2019160N11073,NI,AS,VAYU,13.61,70.6,45,993,2019,6,10,2019/06/10 04:00:00+00
675132,675133,2019160N11073,NI,AS,VAYU,13.9,70.55,45,992,2019,6,10,2019/06/10 04:00:00+00
675133,675134,2019160N11073,NI,AS,VAYU,14.2,70.62,47,990,2019,6,10,2019/06/10 04:00:00+00
675134,675135,2019160N11073,NI,AS,VAYU,14.6,70.7,50,988,2019,6,11,2019/06/11 04:00:00+00
675135,675136,2019160N11073,NI,AS,VAYU,14.92,70.74,52,987,2019,6,11,2019/06/11 04:00:00+00
