Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
234209,234210,1951301N16128,WP,MM,VERA,16.0,128.0,0,0,1951,10,28,1951/10/28 04:00:00+00
234210,234211,1951301N16128,WP,MM,VERA,16.5,128.0,0,0,1951,10,28,1951/10/28 04:00:00+00
234211,234212,1951301N16128,WP,MM,VERA,17.0,128.0,0,0,1951,10,28,1951/10/28 04:00:00+00
234212,234213,1951301N16128,WP,MM,VERA,17.5,128.01,0,0,1951,10,28,1951/10/28 04:00:00+00
234213,234214,1951301N16128,WP,MM,VERA,18.0,128.05,0,0,1951,10,28,1951/10/28 04:00:00+00
234214,234215,1951301N16128,WP,MM,VERA,18.51,128.11,0,0,1951,10,28,1951/10/28 04:00:00+00
234215,234216,1951301N16128,WP,MM,VERA,19.0,128.2,0,0,1951,10,29,1951/10/29 04:00:00+00
234216,234217,1951301N16128,WP,MM,VERA,19.47,128.27,0,0,1951,10,29,1951/10/29 04:00:00+00
234217,234218,1951301N16128,WP,MM,VERA,19.9,128.4,0,0,1951,10,29,1951/10/29 04:00:00+00
234218,234219,1951301N16128,WP,MM,VERA,20.23,128.6,0,0,1951,10,29,1951/10/29 04:00:00+00
234219,234220,1951301N16128,WP,MM,VERA,20.6,129.0,0,0,1951,10,29,1951/10/29 04:00:00+00
234220,234221,1951301N16128,WP,MM,VERA,21.13,129.74,0,0,1951,10,29,1951/10/29 04:00:00+00
234221,234222,1951301N16128,WP,MM,VERA,21.75,130.6,0,0,1951,10,29,1951/10/29 04:00:00+00
234222,234223,1951301N16128,WP,MM,VERA,22.36,131.3,0,0,1951,10,29,1951/10/29 04:00:00+00
234223,234224,1951301N16128,WP,MM,VERA,23.0,132.0,0,0,1951,10,30,1951/10/30 04:00:00+00
234224,234225,1951301N16128,WP,MM,VERA,23.63,132.74,0,0,1951,10,30,1951/10/30 04:00:00+00
