Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
592714,592715,2005257N15120,WP,MM,VICENTE,14.7,119.6,15,1006,2005,9,14,2005/09/14 04:00:00+00
592715,592716,2005257N15120,WP,MM,VICENTE,14.89,119.05,15,1006,2005,9,14,2005/09/14 04:00:00+00
592716,592717,2005257N15120,WP,MM,VICENTE,15.0,118.5,15,1006,2005,9,14,2005/09/14 04:00:00+00
592717,592718,2005257N15120,WP,MM,VICENTE,14.99,117.97,15,1006,2005,9,14,2005/09/14 04:00:00+00
592718,592719,2005257N15120,WP,MM,VICENTE,14.9,117.4,15,1006,2005,9,14,2005/09/14 04:00:00+00
592719,592720,2005257N15120,WP,MM,VICENTE,14.84,116.73,15,1006,2005,9,14,2005/09/14 04:00:00+00
592720,592721,2005257N15120,WP,MM,VICENTE,14.7,116.1,15,1006,2005,9,15,2005/09/15 04:00:00+00
592721,592722,2005257N15120,WP,MM,VICENTE,14.42,115.63,17,1005,2005,9,15,2005/09/15 04:00:00+00
592722,592723,2005257N15120,WP,MM,VICENTE,14.1,115.33,20,1004,2005,9,15,2005/09/15 04:00:00+00
592723,592724,2005257N15120,WP,MM,VICENTE,13.86,114.86,20,1004,2005,9,15,2005/09/15 04:00:00+00
592724,592725,2005257N15120,WP,MM,VICENTE,13.6,114.38,20,1004,2005,9,15,2005/09/15 04:00:00+00
592725,592726,2005257N15120,WP,MM,VICENTE,13.29,113.93,20,1004,2005,9,15,2005/09/15 04:00:00+00
592726,592727,2005257N15120,WP,MM,VICENTE,12.9,113.53,20,1004,2005,9,15,2005/09/15 04:00:00+00
592727,592728,2005257N15120,WP,MM,VICENTE,12.4,113.11,25,1002,2005,9,15,2005/09/15 04:00:00+00
592728,592729,2005257N15120,WP,MM,VICENTE,11.87,112.9,30,1000,2005,9,16,2005/09/16 04:00:00+00
592729,592730,2005257N15120,WP,MM,VICENTE,11.27,113.08,32,998,2005,9,16,2005/09/16 04:00:00+00
592730,592731,2005257N15120,WP,MM,VICENTE,10.9,113.49,35,997,2005,9,16,2005/09/16 04:00:00+00
592731,592732,2005257N15120,WP,MM,VICENTE,11.02,113.92,32,998,2005,9,16,2005/09/16 04:00:00+00
592732,592733,2005257N15120,WP,MM,VICENTE,11.38,114.27,30,1000,2005,9,16,2005/09/16 04:00:00+00
592733,592734,2005257N15120,WP,MM,VICENTE,11.76,114.39,32,998,2005,9,16,2005/09/16 04:00:00+00
592734,592735,2005257N15120,WP,MM,VICENTE,12.28,114.4,35,997,2005,9,16,2005/09/16 04:00:00+00
592735,592736,2005257N15120,WP,MM,VICENTE,12.86,114.52,35,997,2005,9,16,2005/09/16 04:00:00+00
592736,592737,2005257N15120,WP,MM,VICENTE,13.57,114.5,35,997,2005,9,17,2005/09/17 04:00:00+00
592737,592738,2005257N15120,WP,MM,VICENTE,14.46,114.23,35,997,2005,9,17,2005/09/17 04:00:00+00
592738,592739,2005257N15120,WP,MM,VICENTE,15.32,113.65,35,997,2005,9,17,2005/09/17 04:00:00+00
592739,592740,2005257N15120,WP,MM,VICENTE,16.02,112.72,35,997,2005,9,17,2005/09/17 04:00:00+00
592740,592741,2005257N15120,WP,MM,VICENTE,16.52,111.65,35,997,2005,9,17,2005/09/17 04:00:00+00
592741,592742,2005257N15120,WP,MM,VICENTE,16.84,110.75,40,994,2005,9,17,2005/09/17 04:00:00+00
592742,592743,2005257N15120,WP,MM,VICENTE,17.0,109.92,45,991,2005,9,17,2005/09/17 04:00:00+00
592743,592744,2005257N15120,WP,MM,VICENTE,17.07,109.17,47,989,2005,9,17,2005/09/17 04:00:00+00
592744,592745,2005257N15120,WP,MM,VICENTE,17.15,108.45,50,987,2005,9,18,2005/09/18 04:00:00+00
592745,592746,2005257N15120,WP,MM,VICENTE,17.33,107.71,50,987,2005,9,18,2005/09/18 04:00:00+00
592746,592747,2005257N15120,WP,MM,VICENTE,17.63,106.91,50,987,2005,9,18,2005/09/18 04:00:00+00
592747,592748,2005257N15120,WP,MM,VICENTE,18.13,105.96,47,989,2005,9,18,2005/09/18 04:00:00+00
592748,592749,2005257N15120,WP,MM,VICENTE,18.67,104.85,45,991,2005,9,18,2005/09/18 04:00:00+00
592749,592750,2005257N15120,WP,MM,VICENTE,18.99,103.59,0,0,2005,9,18,2005/09/18 04:00:00+00
592750,592751,2005257N15120,WP,MM,VICENTE,19.24,102.3,0,0,2005,9,18,2005/09/18 04:00:00+00
592751,592752,2005257N15120,WP,MM,VICENTE,19.6,101.04,0,0,2005,9,18,2005/09/18 04:00:00+00
