Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
248453,248454,1955001N08140,WP,MM,VIOLET,7.7,140.0,0,0,1955,1,1,1955/01/01 05:00:00+00
248454,248455,1955001N08140,WP,MM,VIOLET,7.54,139.53,0,0,1955,1,1,1955/01/01 05:00:00+00
248455,248456,1955001N08140,WP,MM,VIOLET,7.4,139.0,0,0,1955,1,1,1955/01/01 05:00:00+00
248456,248457,1955001N08140,WP,MM,VIOLET,7.29,138.37,0,0,1955,1,1,1955/01/01 05:00:00+00
248457,248458,1955001N08140,WP,MM,VIOLET,7.2,137.7,0,0,1955,1,1,1955/01/01 05:00:00+00
248458,248459,1955001N08140,WP,MM,VIOLET,7.09,137.09,0,0,1955,1,1,1955/01/01 05:00:00+00
248459,248460,1955001N08140,WP,MM,VIOLET,7.0,136.71,30,0,1955,1,1,1955/01/01 05:00:00+00
248460,248461,1955001N08140,WP,MM,VIOLET,6.91,136.13,30,0,1955,1,1,1955/01/01 05:00:00+00
248461,248462,1955001N08140,WP,MM,VIOLET,6.83,135.51,30,0,1955,1,2,1955/01/02 05:00:00+00
248462,248463,1955001N08140,WP,MM,VIOLET,6.8,134.91,30,0,1955,1,2,1955/01/02 05:00:00+00
248463,248464,1955001N08140,WP,MM,VIOLET,6.8,134.37,30,0,1955,1,2,1955/01/02 05:00:00+00
248464,248465,1955001N08140,WP,MM,VIOLET,6.8,133.95,30,0,1955,1,2,1955/01/02 05:00:00+00
248465,248466,1955001N08140,WP,MM,VIOLET,6.8,133.56,30,0,1955,1,2,1955/01/02 05:00:00+00
248466,248467,1955001N08140,WP,MM,VIOLET,6.8,133.17,35,0,1955,1,2,1955/01/02 05:00:00+00
248467,248468,1955001N08140,WP,MM,VIOLET,6.8,132.78,40,0,1955,1,2,1955/01/02 05:00:00+00
248468,248469,1955001N08140,WP,MM,VIOLET,6.8,132.38,47,0,1955,1,2,1955/01/02 05:00:00+00
248469,248470,1955001N08140,WP,MM,VIOLET,6.8,132.0,55,0,1955,1,3,1955/01/03 05:00:00+00
248470,248471,1955001N08140,WP,MM,VIOLET,6.82,131.71,55,0,1955,1,3,1955/01/03 05:00:00+00
248471,248472,1955001N08140,WP,MM,VIOLET,6.86,131.44,55,0,1955,1,3,1955/01/03 05:00:00+00
248472,248473,1955001N08140,WP,MM,VIOLET,6.9,131.08,55,0,1955,1,3,1955/01/03 05:00:00+00
248473,248474,1955001N08140,WP,MM,VIOLET,6.93,130.7,55,0,1955,1,3,1955/01/03 05:00:00+00
248474,248475,1955001N08140,WP,MM,VIOLET,6.95,130.34,55,0,1955,1,3,1955/01/03 05:00:00+00
248475,248476,1955001N08140,WP,MM,VIOLET,6.95,129.96,55,0,1955,1,3,1955/01/03 05:00:00+00
248476,248477,1955001N08140,WP,MM,VIOLET,6.92,129.57,55,0,1955,1,3,1955/01/03 05:00:00+00
248477,248478,1955001N08140,WP,MM,VIOLET,6.9,129.12,55,0,1955,1,4,1955/01/04 05:00:00+00
248478,248479,1955001N08140,WP,MM,VIOLET,6.92,128.54,57,0,1955,1,4,1955/01/04 05:00:00+00
248479,248480,1955001N08140,WP,MM,VIOLET,6.97,127.93,60,0,1955,1,4,1955/01/04 05:00:00+00
248480,248481,1955001N08140,WP,MM,VIOLET,7.03,127.41,65,0,1955,1,4,1955/01/04 05:00:00+00
248481,248482,1955001N08140,WP,MM,VIOLET,7.13,126.9,70,0,1955,1,4,1955/01/04 05:00:00+00
248482,248483,1955001N08140,WP,MM,VIOLET,7.31,126.38,65,0,1955,1,4,1955/01/04 05:00:00+00
248483,248484,1955001N08140,WP,MM,VIOLET,7.49,125.87,60,0,1955,1,4,1955/01/04 05:00:00+00
248484,248485,1955001N08140,WP,MM,VIOLET,7.56,125.36,60,0,1955,1,4,1955/01/04 05:00:00+00
248485,248486,1955001N08140,WP,MM,VIOLET,7.62,124.85,60,0,1955,1,5,1955/01/05 05:00:00+00
248486,248487,1955001N08140,WP,MM,VIOLET,7.7,124.29,60,0,1955,1,5,1955/01/05 05:00:00+00
248487,248488,1955001N08140,WP,MM,VIOLET,7.83,123.74,60,0,1955,1,5,1955/01/05 05:00:00+00
248488,248489,1955001N08140,WP,MM,VIOLET,8.04,123.22,50,0,1955,1,5,1955/01/05 05:00:00+00
248489,248490,1955001N08140,WP,MM,VIOLET,8.25,122.73,40,0,1955,1,5,1955/01/05 05:00:00+00
248490,248491,1955001N08140,WP,MM,VIOLET,8.39,122.26,37,0,1955,1,5,1955/01/05 05:00:00+00
248491,248492,1955001N08140,WP,MM,VIOLET,8.5,121.79,35,0,1955,1,5,1955/01/05 05:00:00+00
248492,248493,1955001N08140,WP,MM,VIOLET,8.59,121.34,35,0,1955,1,5,1955/01/05 05:00:00+00
248493,248494,1955001N08140,WP,MM,VIOLET,8.7,120.88,35,0,1955,1,6,1955/01/06 05:00:00+00
248494,248495,1955001N08140,WP,MM,VIOLET,8.87,120.44,35,0,1955,1,6,1955/01/06 05:00:00+00
248495,248496,1955001N08140,WP,MM,VIOLET,9.1,120.08,35,0,1955,1,6,1955/01/06 05:00:00+00
248496,248497,1955001N08140,WP,MM,VIOLET,9.45,120.15,0,0,1955,1,6,1955/01/06 05:00:00+00
248497,248498,1955001N08140,WP,MM,VIOLET,9.7,119.9,0,0,1955,1,6,1955/01/06 05:00:00+00
248498,248499,1955001N08140,WP,MM,VIOLET,9.96,119.61,0,0,1955,1,6,1955/01/06 05:00:00+00
248499,248500,1955001N08140,WP,MM,VIOLET,10.2,119.3,0,0,1955,1,6,1955/01/06 05:00:00+00
248500,248501,1955001N08140,WP,MM,VIOLET,10.44,119.01,0,0,1955,1,6,1955/01/06 05:00:00+00
248501,248502,1955001N08140,WP,MM,VIOLET,10.6,118.7,0,0,1955,1,7,1955/01/07 05:00:00+00
248502,248503,1955001N08140,WP,MM,VIOLET,10.66,118.36,0,0,1955,1,7,1955/01/07 05:00:00+00
248503,248504,1955001N08140,WP,MM,VIOLET,10.6,118.0,0,0,1955,1,7,1955/01/07 05:00:00+00
248504,248505,1955001N08140,WP,MM,VIOLET,10.44,117.64,0,0,1955,1,7,1955/01/07 05:00:00+00
248505,248506,1955001N08140,WP,MM,VIOLET,10.2,117.3,0,0,1955,1,7,1955/01/07 05:00:00+00
248506,248507,1955001N08140,WP,MM,VIOLET,9.94,116.98,0,0,1955,1,7,1955/01/07 05:00:00+00
248507,248508,1955001N08140,WP,MM,VIOLET,9.7,116.7,0,0,1955,1,7,1955/01/07 05:00:00+00
248508,248509,1955001N08140,WP,MM,VIOLET,9.54,116.45,0,0,1955,1,7,1955/01/07 05:00:00+00
248509,248510,1955001N08140,WP,MM,VIOLET,9.4,116.2,0,0,1955,1,8,1955/01/08 05:00:00+00
248510,248511,1955001N08140,WP,MM,VIOLET,9.21,115.91,0,0,1955,1,8,1955/01/08 05:00:00+00
248511,248512,1955001N08140,WP,MM,VIOLET,9.0,115.6,0,0,1955,1,8,1955/01/08 05:00:00+00
248512,248513,1955001N08140,WP,MM,VIOLET,8.76,115.3,0,0,1955,1,8,1955/01/08 05:00:00+00
271650,271651,1959178N11109,WP,MM,VIOLET,10.9,109.3,0,0,1959,6,27,1959/06/27 04:00:00+00
271651,271652,1959178N11109,WP,MM,VIOLET,11.13,109.54,0,0,1959,6,27,1959/06/27 04:00:00+00
271652,271653,1959178N11109,WP,MM,VIOLET,11.3,109.8,0,0,1959,6,27,1959/06/27 04:00:00+00
271653,271654,1959178N11109,WP,MM,VIOLET,11.39,110.07,0,0,1959,6,27,1959/06/27 04:00:00+00
271654,271655,1959178N11109,WP,MM,VIOLET,11.5,110.3,0,0,1959,6,27,1959/06/27 04:00:00+00
271655,271656,1959178N11109,WP,MM,VIOLET,11.74,110.44,0,0,1959,6,27,1959/06/27 04:00:00+00
271656,271657,1959178N11109,WP,MM,VIOLET,12.0,110.5,0,0,1959,6,28,1959/06/28 04:00:00+00
271657,271658,1959178N11109,WP,MM,VIOLET,12.16,110.47,0,0,1959,6,28,1959/06/28 04:00:00+00
271658,271659,1959178N11109,WP,MM,VIOLET,12.3,110.4,0,0,1959,6,28,1959/06/28 04:00:00+00
271659,271660,1959178N11109,WP,MM,VIOLET,12.49,110.36,0,0,1959,6,28,1959/06/28 04:00:00+00
271660,271661,1959178N11109,WP,MM,VIOLET,12.7,110.3,0,0,1959,6,28,1959/06/28 04:00:00+00
271661,271662,1959178N11109,WP,MM,VIOLET,12.92,110.18,0,0,1959,6,28,1959/06/28 04:00:00+00
271662,271663,1959178N11109,WP,MM,VIOLET,13.1,110.0,0,0,1959,6,28,1959/06/28 04:00:00+00
271663,271664,1959178N11109,WP,MM,VIOLET,13.18,109.77,0,0,1959,6,28,1959/06/28 04:00:00+00
271664,271665,1959178N11109,WP,MM,VIOLET,13.2,109.5,0,0,1959,6,29,1959/06/29 04:00:00+00
271665,271666,1959178N11109,WP,MM,VIOLET,13.2,109.25,0,0,1959,6,29,1959/06/29 04:00:00+00
286178,286179,1961276N22152,WP,MM,VIOLET,21.8,151.65,0,0,1961,10,2,1961/10/02 04:00:00+00
286179,286180,1961276N22152,WP,MM,VIOLET,21.8,151.42,0,0,1961,10,2,1961/10/02 04:00:00+00
286180,286181,1961276N22152,WP,MM,VIOLET,21.65,151.25,0,0,1961,10,3,1961/10/03 04:00:00+00
286181,286182,1961276N22152,WP,MM,VIOLET,21.24,151.14,0,0,1961,10,3,1961/10/03 04:00:00+00
286182,286183,1961276N22152,WP,MM,VIOLET,20.75,150.95,0,0,1961,10,3,1961/10/03 04:00:00+00
286183,286184,1961276N22152,WP,MM,VIOLET,20.34,150.55,0,0,1961,10,3,1961/10/03 04:00:00+00
286184,286185,1961276N22152,WP,MM,VIOLET,20.0,150.0,0,0,1961,10,3,1961/10/03 04:00:00+00
286185,286186,1961276N22152,WP,MM,VIOLET,19.77,149.36,0,0,1961,10,3,1961/10/03 04:00:00+00
286186,286187,1961276N22152,WP,MM,VIOLET,19.6,148.65,0,0,1961,10,3,1961/10/03 04:00:00+00
286187,286188,1961276N22152,WP,MM,VIOLET,19.46,147.91,0,0,1961,10,3,1961/10/03 04:00:00+00
286188,286189,1961276N22152,WP,MM,VIOLET,19.33,147.17,50,0,1961,10,4,1961/10/04 04:00:00+00
286189,286190,1961276N22152,WP,MM,VIOLET,19.08,146.73,52,0,1961,10,4,1961/10/04 04:00:00+00
286190,286191,1961276N22152,WP,MM,VIOLET,18.81,146.4,55,0,1961,10,4,1961/10/04 04:00:00+00
286191,286192,1961276N22152,WP,MM,VIOLET,18.56,146.08,60,0,1961,10,4,1961/10/04 04:00:00+00
286192,286193,1961276N22152,WP,MM,VIOLET,18.32,145.8,65,0,1961,10,4,1961/10/04 04:00:00+00
286193,286194,1961276N22152,WP,MM,VIOLET,18.0,145.57,70,0,1961,10,4,1961/10/04 04:00:00+00
286194,286195,1961276N22152,WP,MM,VIOLET,17.67,145.35,75,0,1961,10,4,1961/10/04 04:00:00+00
286195,286196,1961276N22152,WP,MM,VIOLET,17.36,145.13,80,0,1961,10,4,1961/10/04 04:00:00+00
286196,286197,1961276N22152,WP,MM,VIOLET,17.09,144.94,85,0,1961,10,5,1961/10/05 04:00:00+00
286197,286198,1961276N22152,WP,MM,VIOLET,16.84,144.8,90,0,1961,10,5,1961/10/05 04:00:00+00
286198,286199,1961276N22152,WP,MM,VIOLET,16.64,144.64,95,0,1961,10,5,1961/10/05 04:00:00+00
286199,286200,1961276N22152,WP,MM,VIOLET,16.47,144.37,100,0,1961,10,5,1961/10/05 04:00:00+00
286200,286201,1961276N22152,WP,MM,VIOLET,16.36,144.09,105,0,1961,10,5,1961/10/05 04:00:00+00
286201,286202,1961276N22152,WP,MM,VIOLET,16.32,143.88,110,0,1961,10,5,1961/10/05 04:00:00+00
286202,286203,1961276N22152,WP,MM,VIOLET,16.35,143.73,115,0,1961,10,5,1961/10/05 04:00:00+00
286203,286204,1961276N22152,WP,MM,VIOLET,16.41,143.62,120,0,1961,10,5,1961/10/05 04:00:00+00
