Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
568747,568748,2001363S10185,SP,MM,WAKA,-10.4,-175.1,25,1002,2001,12,28,2001/12/28 05:00:00+00
568748,568749,2001363S10185,SP,MM,WAKA,-10.37,-174.89,27,1002,2001,12,28,2001/12/28 05:00:00+00
568749,568750,2001363S10185,SP,MM,WAKA,-10.4,-174.7,30,1002,2001,12,28,2001/12/28 05:00:00+00
568750,568751,2001363S10185,SP,MM,WAKA,-10.55,-174.55,30,1002,2001,12,28,2001/12/28 05:00:00+00
568751,568752,2001363S10185,SP,MM,WAKA,-10.8,-174.44,30,1002,2001,12,29,2001/12/29 05:00:00+00
568752,568753,2001363S10185,SP,MM,WAKA,-11.11,-174.54,32,999,2001,12,29,2001/12/29 05:00:00+00
568753,568754,2001363S10185,SP,MM,WAKA,-11.41,-174.67,35,997,2001,12,29,2001/12/29 05:00:00+00
568754,568755,2001363S10185,SP,MM,WAKA,-11.68,-174.75,35,997,2001,12,29,2001/12/29 05:00:00+00
568755,568756,2001363S10185,SP,MM,WAKA,-11.95,-174.9,35,997,2001,12,29,2001/12/29 05:00:00+00
568756,568757,2001363S10185,SP,MM,WAKA,-12.23,-175.24,45,995,2001,12,29,2001/12/29 05:00:00+00
568757,568758,2001363S10185,SP,MM,WAKA,-12.5,-175.6,55,994,2001,12,29,2001/12/29 05:00:00+00
568758,568759,2001363S10185,SP,MM,WAKA,-12.77,-175.83,60,985,2001,12,29,2001/12/29 05:00:00+00
568759,568760,2001363S10185,SP,MM,WAKA,-13.05,-175.95,65,976,2001,12,30,2001/12/30 05:00:00+00
568760,568761,2001363S10185,SP,MM,WAKA,-13.31,-175.98,67,974,2001,12,30,2001/12/30 05:00:00+00
568761,568762,2001363S10185,SP,MM,WAKA,-13.6,-175.95,70,972,2001,12,30,2001/12/30 05:00:00+00
568762,568763,2001363S10185,SP,MM,WAKA,-13.96,-175.93,80,963,2001,12,30,2001/12/30 05:00:00+00
568763,568764,2001363S10185,SP,MM,WAKA,-14.35,-175.9,90,954,2001,12,30,2001/12/30 05:00:00+00
568764,568765,2001363S10185,SP,MM,WAKA,-14.73,-175.88,90,954,2001,12,30,2001/12/30 05:00:00+00
568765,568766,2001363S10185,SP,MM,WAKA,-15.15,-175.8,90,954,2001,12,30,2001/12/30 05:00:00+00
568766,568767,2001363S10185,SP,MM,WAKA,-15.65,-175.65,95,949,2001,12,30,2001/12/30 05:00:00+00
568767,568768,2001363S10185,SP,MM,WAKA,-16.2,-175.4,100,944,2001,12,31,2001/12/31 05:00:00+00
568768,568769,2001363S10185,SP,MM,WAKA,-16.75,-175.08,100,944,2001,12,31,2001/12/31 05:00:00+00
568769,568770,2001363S10185,SP,MM,WAKA,-17.35,-174.7,100,944,2001,12,31,2001/12/31 05:00:00+00
568770,568771,2001363S10185,SP,MM,WAKA,-18.02,-174.36,100,944,2001,12,31,2001/12/31 05:00:00+00
568771,568772,2001363S10185,SP,MM,WAKA,-18.75,-173.95,100,944,2001,12,31,2001/12/31 05:00:00+00
568772,568773,2001363S10185,SP,MM,WAKA,-19.54,-173.38,100,953,2001,12,31,2001/12/31 05:00:00+00
568773,568774,2001363S10185,SP,MM,WAKA,-20.35,-172.75,100,962,2001,12,31,2001/12/31 05:00:00+00
568774,568775,2001363S10185,SP,MM,WAKA,-21.11,-172.2,95,966,2001,12,31,2001/12/31 05:00:00+00
568775,568776,2001363S10185,SP,MM,WAKA,-21.9,-171.6,90,970,2002,1,1,2002/01/01 05:00:00+00
568776,568777,2001363S10185,SP,MM,WAKA,-22.8,-170.85,82,975,2002,1,1,2002/01/01 05:00:00+00
568777,568778,2001363S10185,SP,MM,WAKA,-23.75,-170.12,75,981,2002,1,1,2002/01/01 05:00:00+00
568778,568779,2001363S10185,SP,MM,WAKA,-24.67,-169.51,70,984,2002,1,1,2002/01/01 05:00:00+00
568779,568780,2001363S10185,SP,MM,WAKA,-25.64,-168.97,65,987,2002,1,1,2002/01/01 05:00:00+00
568780,568781,2001363S10185,SP,MM,WAKA,-26.76,-168.42,60,985,2002,1,1,2002/01/01 05:00:00+00
568781,568782,2001363S10185,SP,MM,WAKA,-27.8,-167.98,55,984,2002,1,1,2002/01/01 05:00:00+00
568782,568783,2001363S10185,SP,MM,WAKA,-28.64,-167.76,50,992,2002,1,1,2002/01/01 05:00:00+00
568783,568784,2001363S10185,SP,MM,WAKA,-29.37,-167.67,45,1000,2002,1,2,2002/01/02 05:00:00+00
568784,568785,2001363S10185,SP,MM,WAKA,-30.07,-167.54,0,0,2002,1,2,2002/01/02 05:00:00+00
568785,568786,2001363S10185,SP,MM,WAKA,-30.5,-167.4,0,0,2002,1,2,2002/01/02 05:00:00+00
568786,568787,2001363S10185,SP,MM,WAKA,-30.7,-167.24,0,0,2002,1,2,2002/01/02 05:00:00+00
568787,568788,2001363S10185,SP,MM,WAKA,-30.8,-167.1,0,0,2002,1,2,2002/01/02 05:00:00+00
568788,568789,2001363S10185,SP,MM,WAKA,-31.06,-166.99,0,0,2002,1,2,2002/01/02 05:00:00+00
568789,568790,2001363S10185,SP,MM,WAKA,-31.3,-166.9,0,0,2002,1,2,2002/01/02 05:00:00+00
568790,568791,2001363S10185,SP,MM,WAKA,-31.4,-166.83,0,0,2002,1,2,2002/01/02 05:00:00+00
568791,568792,2001363S10185,SP,MM,WAKA,-31.5,-166.7,0,0,2002,1,3,2002/01/03 05:00:00+00
568792,568793,2001363S10185,SP,MM,WAKA,-31.74,-166.41,0,0,2002,1,3,2002/01/03 05:00:00+00
568793,568794,2001363S10185,SP,MM,WAKA,-32.0,-166.1,0,0,2002,1,3,2002/01/03 05:00:00+00
568794,568795,2001363S10185,SP,MM,WAKA,-32.2,-165.87,0,0,2002,1,3,2002/01/03 05:00:00+00
568795,568796,2001363S10185,SP,MM,WAKA,-32.4,-165.7,0,0,2002,1,3,2002/01/03 05:00:00+00
568796,568797,2001363S10185,SP,MM,WAKA,-32.6,-165.59,0,0,2002,1,3,2002/01/03 05:00:00+00
568797,568798,2001363S10185,SP,MM,WAKA,-32.9,-165.5,0,0,2002,1,3,2002/01/03 05:00:00+00
568798,568799,2001363S10185,SP,MM,WAKA,-33.35,-165.43,0,0,2002,1,3,2002/01/03 05:00:00+00
568799,568800,2001363S10185,SP,MM,WAKA,-33.9,-165.3,0,0,2002,1,4,2002/01/04 05:00:00+00
568800,568801,2001363S10185,SP,MM,WAKA,-34.41,-165.01,0,0,2002,1,4,2002/01/04 05:00:00+00
568801,568802,2001363S10185,SP,MM,WAKA,-35.0,-164.7,0,0,2002,1,4,2002/01/04 05:00:00+00
568802,568803,2001363S10185,SP,MM,WAKA,-35.71,-164.49,0,0,2002,1,4,2002/01/04 05:00:00+00
568803,568804,2001363S10185,SP,MM,WAKA,-36.5,-164.3,0,0,2002,1,4,2002/01/04 05:00:00+00
568804,568805,2001363S10185,SP,MM,WAKA,-37.24,-164.11,0,0,2002,1,4,2002/01/04 05:00:00+00
568805,568806,2001363S10185,SP,MM,WAKA,-38.1,-163.8,0,0,2002,1,4,2002/01/04 05:00:00+00
568806,568807,2001363S10185,SP,MM,WAKA,-39.17,-163.21,0,0,2002,1,4,2002/01/04 05:00:00+00
568807,568808,2001363S10185,SP,MM,WAKA,-40.4,-162.5,0,0,2002,1,5,2002/01/05 05:00:00+00
568808,568809,2001363S10185,SP,MM,WAKA,-41.6,-161.97,0,0,2002,1,5,2002/01/05 05:00:00+00
568809,568810,2001363S10185,SP,MM,WAKA,-43.1,-161.2,0,0,2002,1,5,2002/01/05 05:00:00+00
568810,568811,2001363S10185,SP,MM,WAKA,-45.16,-159.66,0,0,2002,1,5,2002/01/05 05:00:00+00
568811,568812,2001363S10185,SP,MM,WAKA,-47.4,-158.1,0,0,2002,1,5,2002/01/05 05:00:00+00
