Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
388868,388869,1976054S16125,SI,WA,WALLY,-16.4,125.0,0,0,1976,2,22,1976/02/22 05:00:00+00
388869,388870,1976054S16125,SI,WA,WALLY,-16.39,124.39,0,0,1976,2,22,1976/02/22 05:00:00+00
388870,388871,1976054S16125,SI,WA,WALLY,-16.38,124.3,0,0,1976,2,22,1976/02/22 05:00:00+00
388871,388872,1976054S16125,SI,WA,WALLY,-16.39,124.12,0,0,1976,2,22,1976/02/22 05:00:00+00
388872,388873,1976054S16125,SI,WA,WALLY,-16.38,124.03,0,0,1976,2,22,1976/02/22 05:00:00+00
388873,388874,1976054S16125,SI,WA,WALLY,-16.37,123.65,0,0,1976,2,22,1976/02/22 05:00:00+00
388874,388875,1976054S16125,SI,WA,WALLY,-16.36,123.45,0,0,1976,2,22,1976/02/22 05:00:00+00
388875,388876,1976054S16125,SI,WA,WALLY,-16.39,123.03,0,0,1976,2,23,1976/02/23 05:00:00+00
388876,388877,1976054S16125,SI,WA,WALLY,-16.43,122.86,0,0,1976,2,23,1976/02/23 05:00:00+00
388877,388878,1976054S16125,SI,WA,WALLY,-16.54,122.62,0,0,1976,2,23,1976/02/23 05:00:00+00
388878,388879,1976054S16125,SI,WA,WALLY,-16.61,122.52,0,0,1976,2,23,1976/02/23 05:00:00+00
388879,388880,1976054S16125,SI,WA,WALLY,-16.74,122.27,0,0,1976,2,23,1976/02/23 05:00:00+00
388880,388881,1976054S16125,SI,WA,WALLY,-16.79,122.14,0,0,1976,2,23,1976/02/23 05:00:00+00
388881,388882,1976054S16125,SI,WA,WALLY,-16.84,121.9,0,0,1976,2,23,1976/02/23 05:00:00+00
388882,388883,1976054S16125,SI,WA,WALLY,-16.85,121.77,0,0,1976,2,23,1976/02/23 05:00:00+00
388883,388884,1976054S16125,SI,WA,WALLY,-16.86,121.51,0,0,1976,2,23,1976/02/23 05:00:00+00
388884,388885,1976054S16125,SI,WA,WALLY,-16.85,121.36,0,0,1976,2,23,1976/02/23 05:00:00+00
388885,388886,1976054S16125,SI,WA,WALLY,-16.82,121.07,0,0,1976,2,23,1976/02/23 05:00:00+00
388886,388887,1976054S16125,SI,WA,WALLY,-16.81,120.91,0,0,1976,2,23,1976/02/23 05:00:00+00
388887,388888,1976054S16125,SI,WA,WALLY,-16.8,120.59,0,0,1976,2,23,1976/02/23 05:00:00+00
388888,388889,1976054S16125,SI,WA,WALLY,-16.81,120.42,0,0,1976,2,23,1976/02/23 05:00:00+00
388889,388890,1976054S16125,SI,WA,WALLY,-16.86,120.08,0,0,1976,2,23,1976/02/23 05:00:00+00
388890,388891,1976054S16125,SI,WA,WALLY,-16.89,119.91,0,0,1976,2,23,1976/02/23 05:00:00+00
388891,388892,1976054S16125,SI,WA,WALLY,-17.0,119.55,0,0,1976,2,24,1976/02/24 05:00:00+00
388892,388893,1976054S16125,SI,WA,WALLY,-17.06,119.37,0,0,1976,2,24,1976/02/24 05:00:00+00
388893,388894,1976054S16125,SI,WA,WALLY,-17.19,119.03,0,0,1976,2,24,1976/02/24 05:00:00+00
388894,388895,1976054S16125,SI,WA,WALLY,-17.25,118.86,0,0,1976,2,24,1976/02/24 05:00:00+00
