Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
490869,490870,1991124N05152,WP,MM,WALT,4.6,151.9,15,0,1991,5,4,1991/05/04 04:00:00+00
490870,490871,1991124N05152,WP,MM,WALT,4.79,152.02,15,0,1991,5,4,1991/05/04 04:00:00+00
490871,490872,1991124N05152,WP,MM,WALT,5.0,152.1,15,0,1991,5,4,1991/05/04 04:00:00+00
490872,490873,1991124N05152,WP,MM,WALT,5.26,152.12,15,0,1991,5,4,1991/05/04 04:00:00+00
490873,490874,1991124N05152,WP,MM,WALT,5.5,152.1,15,0,1991,5,4,1991/05/04 04:00:00+00
490874,490875,1991124N05152,WP,MM,WALT,5.67,152.06,17,0,1991,5,4,1991/05/04 04:00:00+00
490875,490876,1991124N05152,WP,MM,WALT,5.8,152.0,20,0,1991,5,4,1991/05/04 04:00:00+00
490876,490877,1991124N05152,WP,MM,WALT,5.91,151.95,20,0,1991,5,4,1991/05/04 04:00:00+00
490877,490878,1991124N05152,WP,MM,WALT,6.0,151.9,20,0,1991,5,5,1991/05/05 04:00:00+00
490878,490879,1991124N05152,WP,MM,WALT,6.1,151.87,20,0,1991,5,5,1991/05/05 04:00:00+00
490879,490880,1991124N05152,WP,MM,WALT,6.2,151.8,20,0,1991,5,5,1991/05/05 04:00:00+00
490880,490881,1991124N05152,WP,MM,WALT,6.29,151.66,20,0,1991,5,5,1991/05/05 04:00:00+00
490881,490882,1991124N05152,WP,MM,WALT,6.4,151.5,20,0,1991,5,5,1991/05/05 04:00:00+00
490882,490883,1991124N05152,WP,MM,WALT,6.53,151.4,22,0,1991,5,5,1991/05/05 04:00:00+00
490883,490884,1991124N05152,WP,MM,WALT,6.7,151.3,25,0,1991,5,5,1991/05/05 04:00:00+00
490884,490885,1991124N05152,WP,MM,WALT,6.91,151.14,25,0,1991,5,5,1991/05/05 04:00:00+00
490885,490886,1991124N05152,WP,MM,WALT,6.83,151.26,25,0,1991,5,6,1991/05/06 04:00:00+00
490886,490887,1991124N05152,WP,MM,WALT,6.82,151.23,25,0,1991,5,6,1991/05/06 04:00:00+00
490887,490888,1991124N05152,WP,MM,WALT,6.84,151.15,25,0,1991,5,6,1991/05/06 04:00:00+00
490888,490889,1991124N05152,WP,MM,WALT,6.88,151.07,27,0,1991,5,6,1991/05/06 04:00:00+00
490889,490890,1991124N05152,WP,MM,WALT,7.0,150.97,30,0,1991,5,6,1991/05/06 04:00:00+00
490890,490891,1991124N05152,WP,MM,WALT,7.24,150.84,30,0,1991,5,6,1991/05/06 04:00:00+00
490891,490892,1991124N05152,WP,MM,WALT,7.5,150.7,30,0,1991,5,6,1991/05/06 04:00:00+00
490892,490893,1991124N05152,WP,MM,WALT,7.71,150.56,32,0,1991,5,6,1991/05/06 04:00:00+00
490893,490894,1991124N05152,WP,MM,WALT,7.9,150.4,35,0,1991,5,7,1991/05/07 04:00:00+00
490894,490895,1991124N05152,WP,MM,WALT,8.1,150.18,35,0,1991,5,7,1991/05/07 04:00:00+00
490895,490896,1991124N05152,WP,MM,WALT,8.28,149.93,35,0,1991,5,7,1991/05/07 04:00:00+00
490896,490897,1991124N05152,WP,MM,WALT,8.43,149.69,35,0,1991,5,7,1991/05/07 04:00:00+00
490897,490898,1991124N05152,WP,MM,WALT,8.57,149.45,35,0,1991,5,7,1991/05/07 04:00:00+00
490898,490899,1991124N05152,WP,MM,WALT,8.7,149.21,37,0,1991,5,7,1991/05/07 04:00:00+00
490899,490900,1991124N05152,WP,MM,WALT,8.82,148.97,40,0,1991,5,7,1991/05/07 04:00:00+00
490900,490901,1991124N05152,WP,MM,WALT,8.94,148.74,42,0,1991,5,7,1991/05/07 04:00:00+00
490901,490902,1991124N05152,WP,MM,WALT,9.07,148.47,45,0,1991,5,8,1991/05/08 04:00:00+00
490902,490903,1991124N05152,WP,MM,WALT,9.23,148.14,47,0,1991,5,8,1991/05/08 04:00:00+00
490903,490904,1991124N05152,WP,MM,WALT,9.4,147.8,50,0,1991,5,8,1991/05/08 04:00:00+00
490904,490905,1991124N05152,WP,MM,WALT,9.55,147.5,52,0,1991,5,8,1991/05/08 04:00:00+00
490905,490906,1991124N05152,WP,MM,WALT,9.7,147.22,55,0,1991,5,8,1991/05/08 04:00:00+00
490906,490907,1991124N05152,WP,MM,WALT,9.87,146.94,57,0,1991,5,8,1991/05/08 04:00:00+00
490907,490908,1991124N05152,WP,MM,WALT,10.05,146.65,60,0,1991,5,8,1991/05/08 04:00:00+00
490908,490909,1991124N05152,WP,MM,WALT,10.25,146.34,65,0,1991,5,8,1991/05/08 04:00:00+00
490909,490910,1991124N05152,WP,MM,WALT,10.47,145.97,70,0,1991,5,9,1991/05/09 04:00:00+00
490910,490911,1991124N05152,WP,MM,WALT,10.71,145.56,80,0,1991,5,9,1991/05/09 04:00:00+00
490911,490912,1991124N05152,WP,MM,WALT,10.93,145.1,90,0,1991,5,9,1991/05/09 04:00:00+00
490912,490913,1991124N05152,WP,MM,WALT,11.07,144.63,95,0,1991,5,9,1991/05/09 04:00:00+00
490913,490914,1991124N05152,WP,MM,WALT,11.2,144.15,100,0,1991,5,9,1991/05/09 04:00:00+00
490914,490915,1991124N05152,WP,MM,WALT,11.35,143.66,102,0,1991,5,9,1991/05/09 04:00:00+00
490915,490916,1991124N05152,WP,MM,WALT,11.5,143.15,105,0,1991,5,9,1991/05/09 04:00:00+00
490916,490917,1991124N05152,WP,MM,WALT,11.65,142.61,107,0,1991,5,9,1991/05/09 04:00:00+00
490917,490918,1991124N05152,WP,MM,WALT,11.8,142.05,110,0,1991,5,10,1991/05/10 04:00:00+00
490918,490919,1991124N05152,WP,MM,WALT,11.94,141.48,112,0,1991,5,10,1991/05/10 04:00:00+00
490919,490920,1991124N05152,WP,MM,WALT,12.07,140.9,115,0,1991,5,10,1991/05/10 04:00:00+00
490920,490921,1991124N05152,WP,MM,WALT,12.22,140.3,115,0,1991,5,10,1991/05/10 04:00:00+00
490921,490922,1991124N05152,WP,MM,WALT,12.38,139.68,115,0,1991,5,10,1991/05/10 04:00:00+00
490922,490923,1991124N05152,WP,MM,WALT,12.52,139.05,115,0,1991,5,10,1991/05/10 04:00:00+00
490923,490924,1991124N05152,WP,MM,WALT,12.68,138.4,115,0,1991,5,10,1991/05/10 04:00:00+00
490924,490925,1991124N05152,WP,MM,WALT,12.82,137.73,115,0,1991,5,10,1991/05/10 04:00:00+00
490925,490926,1991124N05152,WP,MM,WALT,12.97,137.03,115,0,1991,5,11,1991/05/11 04:00:00+00
490926,490927,1991124N05152,WP,MM,WALT,13.15,136.31,117,0,1991,5,11,1991/05/11 04:00:00+00
490927,490928,1991124N05152,WP,MM,WALT,13.32,135.57,120,0,1991,5,11,1991/05/11 04:00:00+00
490928,490929,1991124N05152,WP,MM,WALT,13.5,134.83,122,0,1991,5,11,1991/05/11 04:00:00+00
490929,490930,1991124N05152,WP,MM,WALT,13.68,134.1,125,0,1991,5,11,1991/05/11 04:00:00+00
490930,490931,1991124N05152,WP,MM,WALT,13.85,133.43,127,0,1991,5,11,1991/05/11 04:00:00+00
490931,490932,1991124N05152,WP,MM,WALT,14.03,132.8,130,0,1991,5,11,1991/05/11 04:00:00+00
490932,490933,1991124N05152,WP,MM,WALT,14.21,132.18,132,0,1991,5,11,1991/05/11 04:00:00+00
490933,490934,1991124N05152,WP,MM,WALT,14.4,131.6,135,0,1991,5,12,1991/05/12 04:00:00+00
490934,490935,1991124N05152,WP,MM,WALT,14.6,131.09,137,0,1991,5,12,1991/05/12 04:00:00+00
490935,490936,1991124N05152,WP,MM,WALT,14.8,130.6,140,0,1991,5,12,1991/05/12 04:00:00+00
490936,490937,1991124N05152,WP,MM,WALT,15.01,130.11,140,0,1991,5,12,1991/05/12 04:00:00+00
490937,490938,1991124N05152,WP,MM,WALT,15.22,129.6,140,0,1991,5,12,1991/05/12 04:00:00+00
490938,490939,1991124N05152,WP,MM,WALT,15.45,129.04,137,0,1991,5,12,1991/05/12 04:00:00+00
490939,490940,1991124N05152,WP,MM,WALT,15.65,128.53,135,0,1991,5,12,1991/05/12 04:00:00+00
490940,490941,1991124N05152,WP,MM,WALT,15.81,128.13,132,0,1991,5,12,1991/05/12 04:00:00+00
490941,490942,1991124N05152,WP,MM,WALT,15.95,127.8,130,0,1991,5,13,1991/05/13 04:00:00+00
490942,490943,1991124N05152,WP,MM,WALT,16.12,127.45,127,0,1991,5,13,1991/05/13 04:00:00+00
490943,490944,1991124N05152,WP,MM,WALT,16.3,127.1,125,0,1991,5,13,1991/05/13 04:00:00+00
490944,490945,1991124N05152,WP,MM,WALT,16.49,126.74,125,0,1991,5,13,1991/05/13 04:00:00+00
490945,490946,1991124N05152,WP,MM,WALT,16.7,126.4,125,0,1991,5,13,1991/05/13 04:00:00+00
490946,490947,1991124N05152,WP,MM,WALT,16.93,126.09,122,0,1991,5,13,1991/05/13 04:00:00+00
490947,490948,1991124N05152,WP,MM,WALT,17.18,125.83,120,0,1991,5,13,1991/05/13 04:00:00+00
490948,490949,1991124N05152,WP,MM,WALT,17.42,125.58,117,0,1991,5,13,1991/05/13 04:00:00+00
490949,490950,1991124N05152,WP,MM,WALT,17.68,125.38,115,0,1991,5,14,1991/05/14 04:00:00+00
490950,490951,1991124N05152,WP,MM,WALT,17.93,125.18,112,0,1991,5,14,1991/05/14 04:00:00+00
490951,490952,1991124N05152,WP,MM,WALT,18.23,125.03,110,0,1991,5,14,1991/05/14 04:00:00+00
490952,490953,1991124N05152,WP,MM,WALT,18.6,124.91,107,0,1991,5,14,1991/05/14 04:00:00+00
490953,490954,1991124N05152,WP,MM,WALT,19.0,124.83,105,0,1991,5,14,1991/05/14 04:00:00+00
