Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
208815,208816,1945264N12124,WP,MM,WANDA,12.3,124.4,25,0,1945,9,21,1945/09/21 04:00:00+00
208816,208817,1945264N12124,WP,MM,WANDA,12.33,124.08,25,0,1945,9,21,1945/09/21 04:00:00+00
208817,208818,1945264N12124,WP,MM,WANDA,12.4,123.7,25,0,1945,9,21,1945/09/21 04:00:00+00
208818,208819,1945264N12124,WP,MM,WANDA,12.54,123.22,25,0,1945,9,21,1945/09/21 04:00:00+00
208819,208820,1945264N12124,WP,MM,WANDA,12.7,122.71,25,0,1945,9,21,1945/09/21 04:00:00+00
208820,208821,1945264N12124,WP,MM,WANDA,12.84,122.24,27,0,1945,9,21,1945/09/21 04:00:00+00
208821,208822,1945264N12124,WP,MM,WANDA,13.0,121.8,30,0,1945,9,22,1945/09/22 04:00:00+00
208822,208823,1945264N12124,WP,MM,WANDA,13.19,121.4,30,0,1945,9,22,1945/09/22 04:00:00+00
208823,208824,1945264N12124,WP,MM,WANDA,13.39,120.98,30,0,1945,9,22,1945/09/22 04:00:00+00
208824,208825,1945264N12124,WP,MM,WANDA,13.58,120.52,32,0,1945,9,22,1945/09/22 04:00:00+00
208825,208826,1945264N12124,WP,MM,WANDA,13.8,120.0,35,0,1945,9,22,1945/09/22 04:00:00+00
208826,208827,1945264N12124,WP,MM,WANDA,14.08,119.42,35,0,1945,9,22,1945/09/22 04:00:00+00
208827,208828,1945264N12124,WP,MM,WANDA,14.41,118.81,35,0,1945,9,22,1945/09/22 04:00:00+00
208828,208829,1945264N12124,WP,MM,WANDA,14.75,118.23,37,0,1945,9,22,1945/09/22 04:00:00+00
208829,208830,1945264N12124,WP,MM,WANDA,15.1,117.7,40,0,1945,9,23,1945/09/23 04:00:00+00
208830,208831,1945264N12124,WP,MM,WANDA,15.4,117.24,40,0,1945,9,23,1945/09/23 04:00:00+00
208831,208832,1945264N12124,WP,MM,WANDA,15.68,116.82,40,0,1945,9,23,1945/09/23 04:00:00+00
208832,208833,1945264N12124,WP,MM,WANDA,15.97,116.42,37,0,1945,9,23,1945/09/23 04:00:00+00
208833,208834,1945264N12124,WP,MM,WANDA,16.3,116.0,35,0,1945,9,23,1945/09/23 04:00:00+00
208834,208835,1945264N12124,WP,MM,WANDA,16.71,115.53,32,0,1945,9,23,1945/09/23 04:00:00+00
208835,208836,1945264N12124,WP,MM,WANDA,17.21,114.97,30,0,1945,9,23,1945/09/23 04:00:00+00
208836,208837,1945264N12124,WP,MM,WANDA,17.79,114.28,27,0,1945,9,23,1945/09/23 04:00:00+00
208837,208838,1945264N12124,WP,MM,WANDA,18.4,113.5,25,0,1945,9,24,1945/09/24 04:00:00+00
208838,208839,1945264N12124,WP,MM,WANDA,18.97,112.7,22,0,1945,9,24,1945/09/24 04:00:00+00
234306,234307,1951321N09143,WP,MM,WANDA,8.9,143.0,0,0,1951,11,16,1951/11/16 05:00:00+00
234307,234308,1951321N09143,WP,MM,WANDA,8.93,142.25,0,0,1951,11,16,1951/11/16 05:00:00+00
234308,234309,1951321N09143,WP,MM,WANDA,8.95,141.5,0,0,1951,11,16,1951/11/16 05:00:00+00
234309,234310,1951321N09143,WP,MM,WANDA,8.95,140.75,0,0,1951,11,16,1951/11/16 05:00:00+00
234310,234311,1951321N09143,WP,MM,WANDA,8.95,140.0,0,0,1951,11,17,1951/11/17 05:00:00+00
234311,234312,1951321N09143,WP,MM,WANDA,8.97,139.25,0,0,1951,11,17,1951/11/17 05:00:00+00
234312,234313,1951321N09143,WP,MM,WANDA,9.0,138.5,0,0,1951,11,17,1951/11/17 05:00:00+00
234313,234314,1951321N09143,WP,MM,WANDA,9.05,137.72,0,0,1951,11,17,1951/11/17 05:00:00+00
234314,234315,1951321N09143,WP,MM,WANDA,9.1,137.0,0,0,1951,11,17,1951/11/17 05:00:00+00
234315,234316,1951321N09143,WP,MM,WANDA,9.14,136.44,0,0,1951,11,17,1951/11/17 05:00:00+00
234316,234317,1951321N09143,WP,MM,WANDA,9.2,135.9,0,0,1951,11,17,1951/11/17 05:00:00+00
