Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
501830,501831,1992268N11193,EP,CP,WARD,11.0,193.0,15,0,1992,9,23,1992/09/23 04:00:00+00
501831,501832,1992268N11193,EP,CP,WARD,11.15,192.5,15,0,1992,9,23,1992/09/23 04:00:00+00
501832,501833,1992268N11193,EP,CP,WARD,11.3,192.0,15,0,1992,9,24,1992/09/24 04:00:00+00
501833,501834,1992268N11193,EP,CP,WARD,11.45,191.5,15,0,1992,9,24,1992/09/24 04:00:00+00
501834,501835,1992268N11193,EP,CP,WARD,11.6,191.0,15,0,1992,9,24,1992/09/24 04:00:00+00
501835,501836,1992268N11193,EP,CP,WARD,11.76,190.5,17,0,1992,9,24,1992/09/24 04:00:00+00
501836,501837,1992268N11193,EP,CP,WARD,11.9,190.0,20,0,1992,9,24,1992/09/24 04:00:00+00
501837,501838,1992268N11193,EP,CP,WARD,12.01,189.5,20,0,1992,9,24,1992/09/24 04:00:00+00
501838,501839,1992268N11193,EP,CP,WARD,12.1,189.0,20,0,1992,9,24,1992/09/24 04:00:00+00
501839,501840,1992268N11193,EP,CP,WARD,12.16,188.5,20,0,1992,9,24,1992/09/24 04:00:00+00
501840,501841,1992268N11193,EP,CP,WARD,12.2,188.0,20,0,1992,9,25,1992/09/25 04:00:00+00
501841,501842,1992268N11193,EP,CP,WARD,12.23,187.51,20,0,1992,9,25,1992/09/25 04:00:00+00
501842,501843,1992268N11193,EP,CP,WARD,12.3,187.0,20,0,1992,9,25,1992/09/25 04:00:00+00
501843,501844,1992268N11193,EP,CP,WARD,12.43,186.46,20,0,1992,9,25,1992/09/25 04:00:00+00
501844,501845,1992268N11193,EP,CP,WARD,12.6,185.9,20,0,1992,9,25,1992/09/25 04:00:00+00
501845,501846,1992268N11193,EP,CP,WARD,12.74,185.34,20,0,1992,9,25,1992/09/25 04:00:00+00
501846,501847,1992268N11193,EP,CP,WARD,12.9,184.8,20,0,1992,9,25,1992/09/25 04:00:00+00
501847,501848,1992268N11193,EP,CP,WARD,13.08,184.29,22,0,1992,9,25,1992/09/25 04:00:00+00
501848,501849,1992268N11193,EP,CP,WARD,13.3,183.8,25,0,1992,9,26,1992/09/26 04:00:00+00
501849,501850,1992268N11193,EP,CP,WARD,13.55,183.29,25,0,1992,9,26,1992/09/26 04:00:00+00
501850,501851,1992268N11193,EP,CP,WARD,13.8,182.8,25,0,1992,9,26,1992/09/26 04:00:00+00
501851,501852,1992268N11193,EP,CP,WARD,14.0,182.34,27,0,1992,9,26,1992/09/26 04:00:00+00
501852,501853,1992268N11193,EP,CP,WARD,14.2,181.9,30,0,1992,9,26,1992/09/26 04:00:00+00
501853,501854,1992268N11193,EP,CP,WARD,14.45,181.46,30,0,1992,9,26,1992/09/26 04:00:00+00
501854,501855,1992268N11193,EP,CP,WARD,14.47,181.0,30,0,1992,9,26,1992/09/26 04:00:00+00
501855,501856,1992268N11193,EP,CP,WARD,14.82,180.39,32,0,1992,9,26,1992/09/26 04:00:00+00
501856,501857,1992268N11193,WP,MM,WARD,15.23,179.84,35,0,1992,9,27,1992/09/27 04:00:00+00
501857,501858,1992268N11193,WP,MM,WARD,15.51,179.43,35,0,1992,9,27,1992/09/27 04:00:00+00
501858,501859,1992268N11193,WP,MM,WARD,15.69,179.1,35,0,1992,9,27,1992/09/27 04:00:00+00
501859,501860,1992268N11193,WP,MM,WARD,15.89,178.75,37,0,1992,9,27,1992/09/27 04:00:00+00
501860,501861,1992268N11193,WP,MM,WARD,16.07,178.43,40,0,1992,9,27,1992/09/27 04:00:00+00
501861,501862,1992268N11193,WP,MM,WARD,16.27,178.1,40,0,1992,9,27,1992/09/27 04:00:00+00
501862,501863,1992268N11193,WP,MM,WARD,16.45,177.78,40,0,1992,9,27,1992/09/27 04:00:00+00
501863,501864,1992268N11193,WP,MM,WARD,16.6,177.42,42,0,1992,9,27,1992/09/27 04:00:00+00
501864,501865,1992268N11193,WP,MM,WARD,16.7,177.1,45,0,1992,9,28,1992/09/28 04:00:00+00
501865,501866,1992268N11193,WP,MM,WARD,16.76,176.84,47,0,1992,9,28,1992/09/28 04:00:00+00
501866,501867,1992268N11193,WP,MM,WARD,16.8,176.68,50,0,1992,9,28,1992/09/28 04:00:00+00
501867,501868,1992268N11193,WP,MM,WARD,16.84,176.62,52,0,1992,9,28,1992/09/28 04:00:00+00
501868,501869,1992268N11193,WP,MM,WARD,16.9,176.68,55,0,1992,9,28,1992/09/28 04:00:00+00
501869,501870,1992268N11193,WP,MM,WARD,17.0,176.8,57,0,1992,9,28,1992/09/28 04:00:00+00
501870,501871,1992268N11193,WP,MM,WARD,17.15,177.0,60,0,1992,9,28,1992/09/28 04:00:00+00
501871,501872,1992268N11193,WP,MM,WARD,17.29,177.23,65,0,1992,9,28,1992/09/28 04:00:00+00
501872,501873,1992268N11193,WP,MM,WARD,17.52,177.45,70,0,1992,9,29,1992/09/29 04:00:00+00
501873,501874,1992268N11193,WP,MM,WARD,17.95,177.59,75,0,1992,9,29,1992/09/29 04:00:00+00
501874,501875,1992268N11193,WP,MM,WARD,18.48,177.68,80,0,1992,9,29,1992/09/29 04:00:00+00
501875,501876,1992268N11193,WP,MM,WARD,18.94,177.75,82,0,1992,9,29,1992/09/29 04:00:00+00
501876,501877,1992268N11193,WP,MM,WARD,19.48,177.75,85,0,1992,9,29,1992/09/29 04:00:00+00
501877,501878,1992268N11193,WP,MM,WARD,20.14,177.65,85,0,1992,9,29,1992/09/29 04:00:00+00
501878,501879,1992268N11193,WP,MM,WARD,20.88,177.43,85,0,1992,9,29,1992/09/29 04:00:00+00
501879,501880,1992268N11193,WP,MM,WARD,21.65,177.06,85,0,1992,9,29,1992/09/29 04:00:00+00
501880,501881,1992268N11193,WP,MM,WARD,22.4,176.62,85,0,1992,9,30,1992/09/30 04:00:00+00
501881,501882,1992268N11193,WP,MM,WARD,23.08,176.25,82,0,1992,9,30,1992/09/30 04:00:00+00
501882,501883,1992268N11193,WP,MM,WARD,23.68,175.88,80,0,1992,9,30,1992/09/30 04:00:00+00
501883,501884,1992268N11193,WP,MM,WARD,24.2,175.5,80,0,1992,9,30,1992/09/30 04:00:00+00
501884,501885,1992268N11193,WP,MM,WARD,24.65,175.05,80,0,1992,9,30,1992/09/30 04:00:00+00
501885,501886,1992268N11193,WP,MM,WARD,25.05,174.46,77,0,1992,9,30,1992/09/30 04:00:00+00
501886,501887,1992268N11193,WP,MM,WARD,25.38,173.72,75,0,1992,9,30,1992/09/30 04:00:00+00
501887,501888,1992268N11193,WP,MM,WARD,25.64,172.86,75,0,1992,9,30,1992/09/30 04:00:00+00
501888,501889,1992268N11193,WP,MM,WARD,25.8,171.95,75,0,1992,10,1,1992/10/01 04:00:00+00
501889,501890,1992268N11193,WP,MM,WARD,25.86,171.12,77,0,1992,10,1,1992/10/01 04:00:00+00
501890,501891,1992268N11193,WP,MM,WARD,25.82,170.3,80,0,1992,10,1,1992/10/01 04:00:00+00
501891,501892,1992268N11193,WP,MM,WARD,25.72,169.44,80,0,1992,10,1,1992/10/01 04:00:00+00
501892,501893,1992268N11193,WP,MM,WARD,25.55,168.6,80,0,1992,10,1,1992/10/01 04:00:00+00
501893,501894,1992268N11193,WP,MM,WARD,25.38,167.8,80,0,1992,10,1,1992/10/01 04:00:00+00
