Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
680612,680613,2020052S11181,SP,MM,WASI,-10.6,-178.8,15,1007,2020,2,20,2020/02/20 05:00:00+00
680613,680614,2020052S11181,SP,MM,WASI,-11.04,-178.39,20,1006,2020,2,20,2020/02/20 05:00:00+00
680614,680615,2020052S11181,SP,MM,WASI,-11.45,-177.82,25,1005,2020,2,20,2020/02/20 05:00:00+00
680615,680616,2020052S11181,SP,MM,WASI,-11.62,-177.25,27,1004,2020,2,20,2020/02/20 05:00:00+00
680616,680617,2020052S11181,SP,MM,WASI,-11.8,-176.7,30,1004,2020,2,21,2020/02/21 05:00:00+00
680617,680618,2020052S11181,SP,MM,WASI,-12.13,-176.22,35,1001,2020,2,21,2020/02/21 05:00:00+00
680618,680619,2020052S11181,SP,MM,WASI,-12.5,-175.75,40,999,2020,2,21,2020/02/21 05:00:00+00
680619,680620,2020052S11181,SP,MM,WASI,-12.85,-175.27,45,999,2020,2,21,2020/02/21 05:00:00+00
680620,680621,2020052S11181,SP,MM,WASI,-13.1,-174.8,50,999,2020,2,21,2020/02/21 05:00:00+00
680621,680622,2020052S11181,SP,MM,WASI,-13.15,-174.36,55,996,2020,2,21,2020/02/21 05:00:00+00
680622,680623,2020052S11181,SP,MM,WASI,-13.15,-173.95,60,993,2020,2,21,2020/02/21 05:00:00+00
680623,680624,2020052S11181,SP,MM,WASI,-13.28,-173.54,57,994,2020,2,21,2020/02/21 05:00:00+00
680624,680625,2020052S11181,SP,MM,WASI,-13.45,-173.2,55,995,2020,2,22,2020/02/22 05:00:00+00
680625,680626,2020052S11181,SP,MM,WASI,-13.6,-173.01,52,996,2020,2,22,2020/02/22 05:00:00+00
680626,680627,2020052S11181,SP,MM,WASI,-13.8,-172.85,50,997,2020,2,22,2020/02/22 05:00:00+00
680627,680628,2020052S11181,SP,MM,WASI,-14.08,-172.54,47,998,2020,2,22,2020/02/22 05:00:00+00
680628,680629,2020052S11181,SP,MM,WASI,-14.4,-172.25,45,1000,2020,2,22,2020/02/22 05:00:00+00
680629,680630,2020052S11181,SP,MM,WASI,-14.69,-172.12,42,1000,2020,2,22,2020/02/22 05:00:00+00
680630,680631,2020052S11181,SP,MM,WASI,-15.05,-172.0,40,1001,2020,2,22,2020/02/22 05:00:00+00
680631,680632,2020052S11181,SP,MM,WASI,-15.55,-171.73,40,1001,2020,2,22,2020/02/22 05:00:00+00
680632,680633,2020052S11181,SP,MM,WASI,-16.13,-171.4,40,1001,2020,2,23,2020/02/23 05:00:00+00
680633,680634,2020052S11181,SP,MM,WASI,-16.65,-171.14,35,1003,2020,2,23,2020/02/23 05:00:00+00
680634,680635,2020052S11181,SP,MM,WASI,-17.2,-170.9,30,1005,2020,2,23,2020/02/23 05:00:00+00
680635,680636,2020052S11181,SP,MM,WASI,-17.71,-170.79,27,1004,2020,2,23,2020/02/23 05:00:00+00
