Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
390070,390071,1976113S04156,SP,EA,WATOREA,-3.6,156.0,0,0,1976,4,22,1976/04/22 04:00:00+00
390071,390072,1976113S04156,SP,EA,WATOREA,-4.37,156.54,0,0,1976,4,22,1976/04/22 04:00:00+00
390072,390073,1976113S04156,SP,EA,WATOREA,-5.04,157.01,0,0,1976,4,22,1976/04/22 04:00:00+00
390073,390074,1976113S04156,SP,EA,WATOREA,-5.52,157.31,0,0,1976,4,22,1976/04/22 04:00:00+00
390074,390075,1976113S04156,SP,EA,WATOREA,-5.8,157.3,0,0,1976,4,22,1976/04/22 04:00:00+00
390075,390076,1976113S04156,SP,EA,WATOREA,-5.88,156.86,0,0,1976,4,22,1976/04/22 04:00:00+00
390076,390077,1976113S04156,SP,EA,WATOREA,-5.86,156.27,0,0,1976,4,22,1976/04/22 04:00:00+00
390077,390078,1976113S04156,SP,EA,WATOREA,-5.87,155.8,0,0,1976,4,22,1976/04/22 04:00:00+00
390078,390079,1976113S04156,SP,EA,WATOREA,-5.9,155.6,0,0,1976,4,23,1976/04/23 04:00:00+00
390079,390080,1976113S04156,SP,EA,WATOREA,-5.99,155.89,0,0,1976,4,23,1976/04/23 04:00:00+00
390080,390081,1976113S04156,SP,EA,WATOREA,-6.09,156.41,0,0,1976,4,23,1976/04/23 04:00:00+00
390081,390082,1976113S04156,SP,EA,WATOREA,-6.19,156.9,0,0,1976,4,23,1976/04/23 04:00:00+00
390082,390083,1976113S04156,SP,EA,WATOREA,-6.3,157.4,0,0,1976,4,23,1976/04/23 04:00:00+00
390083,390084,1976113S04156,SP,EA,WATOREA,-6.43,157.9,0,0,1976,4,23,1976/04/23 04:00:00+00
390084,390085,1976113S04156,SP,EA,WATOREA,-6.58,158.4,0,0,1976,4,23,1976/04/23 04:00:00+00
390085,390086,1976113S04156,SP,EA,WATOREA,-6.73,158.92,0,0,1976,4,23,1976/04/23 04:00:00+00
390086,390087,1976113S04156,SP,EA,WATOREA,-6.9,159.2,0,0,1976,4,24,1976/04/24 04:00:00+00
390087,390088,1976113S04156,SP,EA,WATOREA,-7.16,159.09,0,0,1976,4,24,1976/04/24 04:00:00+00
390088,390089,1976113S04156,SP,EA,WATOREA,-7.46,158.63,0,0,1976,4,24,1976/04/24 04:00:00+00
390089,390090,1976113S04156,SP,EA,WATOREA,-7.81,157.89,0,0,1976,4,24,1976/04/24 04:00:00+00
390090,390091,1976113S04156,SP,EA,WATOREA,-8.0,157.0,0,0,1976,4,24,1976/04/24 04:00:00+00
390091,390092,1976113S04156,SP,EA,WATOREA,-7.77,156.16,0,0,1976,4,24,1976/04/24 04:00:00+00
390092,390093,1976113S04156,SP,EA,WATOREA,-7.4,155.31,0,0,1976,4,24,1976/04/24 04:00:00+00
390093,390094,1976113S04156,SP,EA,WATOREA,-7.07,154.49,0,0,1976,4,24,1976/04/24 04:00:00+00
390094,390095,1976113S04156,SP,EA,WATOREA,-7.23,153.89,0,0,1976,4,25,1976/04/25 04:00:00+00
390095,390096,1976113S04156,SP,EA,WATOREA,-7.83,153.45,0,0,1976,4,25,1976/04/25 04:00:00+00
390096,390097,1976113S04156,SP,EA,WATOREA,-8.56,153.09,0,0,1976,4,25,1976/04/25 04:00:00+00
390097,390098,1976113S04156,SP,EA,WATOREA,-9.22,152.74,0,0,1976,4,25,1976/04/25 04:00:00+00
390098,390099,1976113S04156,SP,EA,WATOREA,-9.61,152.53,0,0,1976,4,25,1976/04/25 04:00:00+00
390099,390100,1976113S04156,SP,EA,WATOREA,-9.78,152.45,0,0,1976,4,25,1976/04/25 04:00:00+00
390100,390101,1976113S04156,SP,EA,WATOREA,-10.25,152.23,0,0,1976,4,25,1976/04/25 04:00:00+00
390101,390102,1976113S04156,SP,EA,WATOREA,-10.55,152.09,0,0,1976,4,25,1976/04/25 04:00:00+00
390102,390103,1976113S04156,SP,EA,WATOREA,-10.71,152.01,0,0,1976,4,25,1976/04/25 04:00:00+00
390103,390104,1976113S04156,SP,EA,WATOREA,-11.16,151.76,0,0,1976,4,25,1976/04/25 04:00:00+00
390104,390105,1976113S04156,SP,EA,WATOREA,-11.45,151.56,0,0,1976,4,25,1976/04/25 04:00:00+00
390105,390106,1976113S04156,SP,EA,WATOREA,-11.6,151.45,0,0,1976,4,26,1976/04/26 04:00:00+00
390106,390107,1976113S04156,SP,EA,WATOREA,-12.03,151.07,0,0,1976,4,26,1976/04/26 04:00:00+00
390107,390108,1976113S04156,SP,EA,WATOREA,-12.31,150.8,0,0,1976,4,26,1976/04/26 04:00:00+00
390108,390109,1976113S04156,SP,EA,WATOREA,-12.44,150.67,0,0,1976,4,26,1976/04/26 04:00:00+00
390109,390110,1976113S04156,SP,EA,WATOREA,-12.79,150.27,0,0,1976,4,26,1976/04/26 04:00:00+00
390110,390111,1976113S04156,SP,EA,WATOREA,-13.03,150.0,0,0,1976,4,26,1976/04/26 04:00:00+00
390111,390112,1976113S04156,SP,EA,WATOREA,-13.16,149.87,0,0,1976,4,26,1976/04/26 04:00:00+00
390112,390113,1976113S04156,SP,EA,WATOREA,-13.61,149.45,0,0,1976,4,26,1976/04/26 04:00:00+00
390113,390114,1976113S04156,SP,EA,WATOREA,-13.92,149.17,0,0,1976,4,26,1976/04/26 04:00:00+00
390114,390115,1976113S04156,SP,EA,WATOREA,-14.08,149.04,0,0,1976,4,26,1976/04/26 04:00:00+00
390115,390116,1976113S04156,SP,EA,WATOREA,-14.54,148.64,0,0,1976,4,26,1976/04/26 04:00:00+00
390116,390117,1976113S04156,SP,EA,WATOREA,-14.84,148.39,0,0,1976,4,26,1976/04/26 04:00:00+00
390117,390118,1976113S04156,SP,EA,WATOREA,-14.99,148.28,0,0,1976,4,27,1976/04/27 04:00:00+00
390118,390119,1976113S04156,SP,EA,WATOREA,-15.27,148.06,0,0,1976,4,27,1976/04/27 04:00:00+00
390119,390120,1976113S04156,SP,EA,WATOREA,-15.42,147.96,0,0,1976,4,27,1976/04/27 04:00:00+00
390120,390121,1976113S04156,SP,EA,WATOREA,-15.71,147.83,0,0,1976,4,27,1976/04/27 04:00:00+00
390121,390122,1976113S04156,SP,EA,WATOREA,-15.86,147.78,0,0,1976,4,27,1976/04/27 04:00:00+00
390122,390123,1976113S04156,SP,EA,WATOREA,-16.15,147.75,0,0,1976,4,27,1976/04/27 04:00:00+00
390123,390124,1976113S04156,SP,EA,WATOREA,-16.3,147.77,0,0,1976,4,27,1976/04/27 04:00:00+00
390124,390125,1976113S04156,SP,EA,WATOREA,-16.6,147.88,0,0,1976,4,27,1976/04/27 04:00:00+00
390125,390126,1976113S04156,SP,EA,WATOREA,-16.75,147.97,0,0,1976,4,27,1976/04/27 04:00:00+00
390126,390127,1976113S04156,SP,EA,WATOREA,-17.03,148.19,0,0,1976,4,27,1976/04/27 04:00:00+00
390127,390128,1976113S04156,SP,EA,WATOREA,-17.16,148.32,0,0,1976,4,27,1976/04/27 04:00:00+00
390128,390129,1976113S04156,SP,EA,WATOREA,-17.44,148.63,0,0,1976,4,27,1976/04/27 04:00:00+00
390129,390130,1976113S04156,SP,EA,WATOREA,-17.6,148.8,0,0,1976,4,27,1976/04/27 04:00:00+00
390130,390131,1976113S04156,SP,EA,WATOREA,-18.13,149.37,0,0,1976,4,27,1976/04/27 04:00:00+00
390131,390132,1976113S04156,SP,EA,WATOREA,-18.57,149.8,0,0,1976,4,27,1976/04/27 04:00:00+00
390132,390133,1976113S04156,SP,EA,WATOREA,-18.83,150.02,0,0,1976,4,28,1976/04/28 04:00:00+00
390133,390134,1976113S04156,SP,EA,WATOREA,-19.77,150.63,0,0,1976,4,28,1976/04/28 04:00:00+00
390134,390135,1976113S04156,SP,EA,WATOREA,-20.47,151.09,0,0,1976,4,28,1976/04/28 04:00:00+00
390135,390136,1976113S04156,SP,EA,WATOREA,-20.83,151.34,0,0,1976,4,28,1976/04/28 04:00:00+00
390136,390137,1976113S04156,SP,EA,WATOREA,-21.9,152.18,0,0,1976,4,28,1976/04/28 04:00:00+00
390137,390138,1976113S04156,SP,EA,WATOREA,-22.62,152.84,0,0,1976,4,28,1976/04/28 04:00:00+00
390138,390139,1976113S04156,SP,EA,WATOREA,-22.98,153.21,0,0,1976,4,28,1976/04/28 04:00:00+00
390139,390140,1976113S04156,SP,EA,WATOREA,-24.05,154.49,0,0,1976,4,28,1976/04/28 04:00:00+00
390140,390141,1976113S04156,SP,EA,WATOREA,-24.81,155.51,0,0,1976,4,28,1976/04/28 04:00:00+00
390141,390142,1976113S04156,SP,EA,WATOREA,-25.22,156.11,0,0,1976,4,28,1976/04/28 04:00:00+00
390142,390143,1976113S04156,SP,EA,WATOREA,-26.42,157.99,0,0,1976,4,28,1976/04/28 04:00:00+00
390143,390144,1976113S04156,SP,EA,WATOREA,-27.21,159.25,0,0,1976,4,28,1976/04/28 04:00:00+00
390144,390145,1976113S04156,SP,EA,WATOREA,-27.58,159.86,0,0,1976,4,29,1976/04/29 04:00:00+00
390145,390146,1976113S04156,SP,MM,WATOREA,-28.67,161.54,0,0,1976,4,29,1976/04/29 04:00:00+00
390146,390147,1976113S04156,SP,MM,WATOREA,-29.74,163.25,0,0,1976,4,29,1976/04/29 04:00:00+00
