Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
436125,436126,1983105S09228,SP,MM,WILLIAM,-9.0,-132.0,0,0,1983,4,15,1983/04/15 04:00:00+00
436126,436127,1983105S09228,SP,MM,WILLIAM,-9.25,-132.03,0,0,1983,4,15,1983/04/15 04:00:00+00
436127,436128,1983105S09228,SP,MM,WILLIAM,-9.51,-132.07,0,0,1983,4,15,1983/04/15 04:00:00+00
436128,436129,1983105S09228,SP,MM,WILLIAM,-9.76,-132.12,0,0,1983,4,15,1983/04/15 04:00:00+00
436129,436130,1983105S09228,SP,MM,WILLIAM,-10.0,-131.93,30,0,1983,4,15,1983/04/15 04:00:00+00
436130,436131,1983105S09228,SP,MM,WILLIAM,-10.21,-131.89,31,0,1983,4,15,1983/04/15 04:00:00+00
436131,436132,1983105S09228,SP,MM,WILLIAM,-10.43,-131.93,32,0,1983,4,15,1983/04/15 04:00:00+00
436132,436133,1983105S09228,SP,MM,WILLIAM,-10.67,-132.04,33,0,1983,4,15,1983/04/15 04:00:00+00
436133,436134,1983105S09228,SP,MM,WILLIAM,-10.9,-132.23,35,0,1983,4,16,1983/04/16 04:00:00+00
436134,436135,1983105S09228,SP,MM,WILLIAM,-11.07,-132.39,36,0,1983,4,16,1983/04/16 04:00:00+00
436135,436136,1983105S09228,SP,MM,WILLIAM,-11.23,-132.58,37,0,1983,4,16,1983/04/16 04:00:00+00
436136,436137,1983105S09228,SP,MM,WILLIAM,-11.43,-132.82,38,0,1983,4,16,1983/04/16 04:00:00+00
436137,436138,1983105S09228,SP,MM,WILLIAM,-11.63,-133.07,40,0,1983,4,16,1983/04/16 04:00:00+00
436138,436139,1983105S09228,SP,MM,WILLIAM,-11.8,-133.26,41,0,1983,4,16,1983/04/16 04:00:00+00
436139,436140,1983105S09228,SP,MM,WILLIAM,-11.98,-133.46,42,0,1983,4,16,1983/04/16 04:00:00+00
436140,436141,1983105S09228,SP,MM,WILLIAM,-12.21,-133.71,43,0,1983,4,16,1983/04/16 04:00:00+00
436141,436142,1983105S09228,SP,MM,WILLIAM,-12.47,-133.93,45,0,1983,4,17,1983/04/17 04:00:00+00
436142,436143,1983105S09228,SP,MM,WILLIAM,-12.73,-134.08,45,0,1983,4,17,1983/04/17 04:00:00+00
436143,436144,1983105S09228,SP,MM,WILLIAM,-13.0,-134.21,45,0,1983,4,17,1983/04/17 04:00:00+00
