Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
688238,688239,2021143N15090,NI,BB,YAAS,15.5,90.0,20,1000,2021,5,23,2021/05/23 04:00:00+00
688239,688240,2021143N15090,NI,BB,YAAS,15.44,89.85,22,999,2021,5,23,2021/05/23 04:00:00+00
688240,688241,2021143N15090,NI,BB,YAAS,15.57,89.83,25,998,2021,5,23,2021/05/23 04:00:00+00
688241,688242,2021143N15090,NI,BB,YAAS,15.64,89.71,27,996,2021,5,23,2021/05/23 04:00:00+00
688242,688243,2021143N15090,NI,BB,YAAS,15.74,89.61,30,995,2021,5,23,2021/05/23 04:00:00+00
688243,688244,2021143N15090,NI,BB,YAAS,15.81,89.51,32,994,2021,5,23,2021/05/23 04:00:00+00
688244,688245,2021143N15090,NI,BB,YAAS,15.85,89.45,35,994,2021,5,23,2021/05/23 04:00:00+00
688245,688246,2021143N15090,NI,BB,YAAS,15.95,89.6,35,992,2021,5,23,2021/05/23 04:00:00+00
688246,688247,2021143N15090,NI,BB,YAAS,16.15,89.75,35,991,2021,5,24,2021/05/24 04:00:00+00
688247,688248,2021143N15090,NI,BB,YAAS,16.46,89.71,35,991,2021,5,24,2021/05/24 04:00:00+00
688248,688249,2021143N15090,NI,BB,YAAS,16.6,89.65,35,991,2021,5,24,2021/05/24 04:00:00+00
688249,688250,2021143N15090,NI,BB,YAAS,16.91,89.56,37,989,2021,5,24,2021/05/24 04:00:00+00
688250,688251,2021143N15090,NI,BB,YAAS,17.15,89.4,40,988,2021,5,24,2021/05/24 04:00:00+00
688251,688252,2021143N15090,NI,BB,YAAS,17.39,89.23,45,985,2021,5,24,2021/05/24 04:00:00+00
688252,688253,2021143N15090,NI,BB,YAAS,17.6,89.0,50,983,2021,5,24,2021/05/24 04:00:00+00
688253,688254,2021143N15090,NI,BB,YAAS,17.84,88.87,52,982,2021,5,24,2021/05/24 04:00:00+00
688254,688255,2021143N15090,NI,BB,YAAS,18.1,88.65,55,981,2021,5,25,2021/05/25 04:00:00+00
688255,688256,2021143N15090,NI,BB,YAAS,18.43,88.42,55,981,2021,5,25,2021/05/25 04:00:00+00
688256,688257,2021143N15090,NI,BB,YAAS,18.8,88.2,55,981,2021,5,25,2021/05/25 04:00:00+00
688257,688258,2021143N15090,NI,BB,YAAS,19.14,88.23,60,978,2021,5,25,2021/05/25 04:00:00+00
688258,688259,2021143N15090,NI,BB,YAAS,19.5,88.15,65,975,2021,5,25,2021/05/25 04:00:00+00
688259,688260,2021143N15090,NI,BB,YAAS,19.9,87.97,65,974,2021,5,25,2021/05/25 04:00:00+00
688260,688261,2021143N15090,NI,BB,YAAS,20.25,87.8,65,974,2021,5,25,2021/05/25 04:00:00+00
688261,688262,2021143N15090,NI,BB,YAAS,20.39,87.71,62,975,2021,5,25,2021/05/25 04:00:00+00
688262,688263,2021143N15090,NI,BB,YAAS,20.6,87.55,60,977,2021,5,26,2021/05/26 04:00:00+00
688263,688264,2021143N15090,NI,BB,YAAS,21.09,87.25,57,978,2021,5,26,2021/05/26 04:00:00+00
688264,688265,2021143N15090,NI,BB,YAAS,21.5,86.9,55,979,2021,5,26,2021/05/26 04:00:00+00
688265,688266,2021143N15090,NI,BB,YAAS,21.73,86.64,50,982,2021,5,26,2021/05/26 04:00:00+00
688266,688267,2021143N15090,NI,BB,YAAS,21.9,86.45,45,985,2021,5,26,2021/05/26 04:00:00+00
688267,688268,2021143N15090,NI,BB,YAAS,22.21,86.05,40,987,2021,5,26,2021/05/26 04:00:00+00
688268,688269,2021143N15090,NI,BB,YAAS,22.5,85.8,35,990,2021,5,26,2021/05/26 04:00:00+00
688269,688270,2021143N15090,NI,BB,YAAS,22.8,85.72,30,991,2021,5,26,2021/05/26 04:00:00+00
688270,688271,2021143N15090,NI,BB,YAAS,23.06,85.71,25,993,2021,5,27,2021/05/27 04:00:00+00
688271,688272,2021143N15090,NI,BB,YAAS,23.29,85.66,22,995,2021,5,27,2021/05/27 04:00:00+00
688272,688273,2021143N15090,NI,BB,YAAS,23.56,85.58,20,997,2021,5,27,2021/05/27 04:00:00+00
688273,688274,2021143N15090,NI,BB,YAAS,23.93,85.47,0,0,2021,5,27,2021/05/27 04:00:00+00
688274,688275,2021143N15090,NI,BB,YAAS,24.3,85.3,0,0,2021,5,27,2021/05/27 04:00:00+00
688275,688276,2021143N15090,NI,BB,YAAS,24.54,85.07,0,0,2021,5,27,2021/05/27 04:00:00+00
