Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
654903,654904,2016055S15202,SP,MM,YALO,-15.5,-157.9,25,1004,2016,2,23,2016/02/23 05:00:00+00
654904,654905,2016055S15202,SP,MM,YALO,-15.73,-157.64,25,1002,2016,2,23,2016/02/23 05:00:00+00
654905,654906,2016055S15202,SP,MM,YALO,-16.0,-157.3,25,1000,2016,2,24,2016/02/24 05:00:00+00
654906,654907,2016055S15202,SP,MM,YALO,-16.34,-156.84,27,1000,2016,2,24,2016/02/24 05:00:00+00
654907,654908,2016055S15202,SP,MM,YALO,-16.7,-156.4,30,1000,2016,2,24,2016/02/24 05:00:00+00
654908,654909,2016055S15202,SP,MM,YALO,-17.06,-156.15,30,1000,2016,2,24,2016/02/24 05:00:00+00
654909,654910,2016055S15202,SP,MM,YALO,-17.36,-156.06,30,1000,2016,2,24,2016/02/24 05:00:00+00
654910,654911,2016055S15202,SP,MM,YALO,-17.6,-155.89,30,1000,2016,2,24,2016/02/24 05:00:00+00
654911,654912,2016055S15202,SP,MM,YALO,-18.0,-155.76,30,1000,2016,2,24,2016/02/24 05:00:00+00
654912,654913,2016055S15202,SP,MM,YALO,-18.34,-155.72,32,998,2016,2,24,2016/02/24 05:00:00+00
654913,654914,2016055S15202,SP,MM,YALO,-18.65,-155.7,35,996,2016,2,25,2016/02/25 05:00:00+00
654914,654915,2016055S15202,SP,MM,YALO,-19.05,-155.54,40,992,2016,2,25,2016/02/25 05:00:00+00
654915,654916,2016055S15202,SP,MM,YALO,-19.45,-155.3,45,989,2016,2,25,2016/02/25 05:00:00+00
654916,654917,2016055S15202,SP,MM,YALO,-19.77,-155.05,47,987,2016,2,25,2016/02/25 05:00:00+00
654917,654918,2016055S15202,SP,MM,YALO,-20.1,-154.75,50,985,2016,2,25,2016/02/25 05:00:00+00
654918,654919,2016055S15202,SP,MM,YALO,-20.43,-154.48,52,983,2016,2,25,2016/02/25 05:00:00+00
654919,654920,2016055S15202,SP,MM,YALO,-20.9,-154.0,55,982,2016,2,25,2016/02/25 05:00:00+00
654920,654921,2016055S15202,SP,MM,YALO,-21.34,-153.49,53,983,2016,2,25,2016/02/25 05:00:00+00
654921,654922,2016055S15202,SP,MM,YALO,-21.49,-153.3,52,983,2016,2,25,2016/02/25 05:00:00+00
654922,654923,2016055S15202,SP,MM,YALO,-21.8,-152.9,50,985,2016,2,26,2016/02/26 05:00:00+00
654923,654924,2016055S15202,SP,MM,YALO,-22.14,-152.4,47,987,2016,2,26,2016/02/26 05:00:00+00
654924,654925,2016055S15202,SP,MM,YALO,-22.53,-151.87,45,989,2016,2,26,2016/02/26 05:00:00+00
654925,654926,2016055S15202,SP,MM,YALO,-23.06,-151.16,40,992,2016,2,26,2016/02/26 05:00:00+00
654926,654927,2016055S15202,SP,MM,YALO,-23.6,-150.57,35,996,2016,2,26,2016/02/26 05:00:00+00
654927,654928,2016055S15202,SP,MM,YALO,-24.17,-149.94,32,998,2016,2,26,2016/02/26 05:00:00+00
