Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
485558,485559,1990221N07162,WP,MM,YANCY,7.0,162.3,15,0,1990,8,9,1990/08/09 04:00:00+00
485559,485560,1990221N07162,WP,MM,YANCY,6.98,161.84,15,0,1990,8,9,1990/08/09 04:00:00+00
485560,485561,1990221N07162,WP,MM,YANCY,7.0,161.3,15,0,1990,8,9,1990/08/09 04:00:00+00
485561,485562,1990221N07162,WP,MM,YANCY,7.07,160.65,15,0,1990,8,9,1990/08/09 04:00:00+00
485562,485563,1990221N07162,WP,MM,YANCY,7.2,160.0,15,0,1990,8,9,1990/08/09 04:00:00+00
485563,485564,1990221N07162,WP,MM,YANCY,7.38,159.47,15,0,1990,8,9,1990/08/09 04:00:00+00
485564,485565,1990221N07162,WP,MM,YANCY,7.6,159.0,15,0,1990,8,10,1990/08/10 04:00:00+00
485565,485566,1990221N07162,WP,MM,YANCY,7.85,158.53,15,0,1990,8,10,1990/08/10 04:00:00+00
485566,485567,1990221N07162,WP,MM,YANCY,8.1,158.1,15,0,1990,8,10,1990/08/10 04:00:00+00
485567,485568,1990221N07162,WP,MM,YANCY,8.3,157.74,17,0,1990,8,10,1990/08/10 04:00:00+00
485568,485569,1990221N07162,WP,MM,YANCY,8.5,157.4,20,0,1990,8,10,1990/08/10 04:00:00+00
485569,485570,1990221N07162,WP,MM,YANCY,8.75,157.01,20,0,1990,8,10,1990/08/10 04:00:00+00
485570,485571,1990221N07162,WP,MM,YANCY,9.0,156.6,20,0,1990,8,10,1990/08/10 04:00:00+00
485571,485572,1990221N07162,WP,MM,YANCY,9.21,156.22,20,0,1990,8,10,1990/08/10 04:00:00+00
485572,485573,1990221N07162,WP,MM,YANCY,9.28,155.55,20,0,1990,8,11,1990/08/11 04:00:00+00
485573,485574,1990221N07162,WP,MM,YANCY,9.37,154.98,22,0,1990,8,11,1990/08/11 04:00:00+00
485574,485575,1990221N07162,WP,MM,YANCY,9.53,154.35,25,0,1990,8,11,1990/08/11 04:00:00+00
485575,485576,1990221N07162,WP,MM,YANCY,9.82,153.56,22,0,1990,8,11,1990/08/11 04:00:00+00
485576,485577,1990221N07162,WP,MM,YANCY,10.17,152.8,20,0,1990,8,11,1990/08/11 04:00:00+00
485577,485578,1990221N07162,WP,MM,YANCY,10.39,152.23,20,0,1990,8,11,1990/08/11 04:00:00+00
485578,485579,1990221N07162,WP,MM,YANCY,10.67,151.73,20,0,1990,8,11,1990/08/11 04:00:00+00
485579,485580,1990221N07162,WP,MM,YANCY,11.11,151.2,20,0,1990,8,11,1990/08/11 04:00:00+00
485580,485581,1990221N07162,WP,MM,YANCY,11.63,150.7,20,0,1990,8,12,1990/08/12 04:00:00+00
485581,485582,1990221N07162,WP,MM,YANCY,12.18,150.27,20,0,1990,8,12,1990/08/12 04:00:00+00
485582,485583,1990221N07162,WP,MM,YANCY,12.73,149.87,20,0,1990,8,12,1990/08/12 04:00:00+00
485583,485584,1990221N07162,WP,MM,YANCY,13.23,149.44,20,0,1990,8,12,1990/08/12 04:00:00+00
485584,485585,1990221N07162,WP,MM,YANCY,13.77,149.03,20,0,1990,8,12,1990/08/12 04:00:00+00
485585,485586,1990221N07162,WP,MM,YANCY,14.42,148.69,20,0,1990,8,12,1990/08/12 04:00:00+00
485586,485587,1990221N07162,WP,MM,YANCY,15.1,148.4,20,0,1990,8,12,1990/08/12 04:00:00+00
485587,485588,1990221N07162,WP,MM,YANCY,15.74,148.13,20,0,1990,8,12,1990/08/12 04:00:00+00
485588,485589,1990221N07162,WP,MM,YANCY,16.33,147.87,20,0,1990,8,13,1990/08/13 04:00:00+00
485589,485590,1990221N07162,WP,MM,YANCY,16.88,147.59,22,0,1990,8,13,1990/08/13 04:00:00+00
485590,485591,1990221N07162,WP,MM,YANCY,17.37,147.27,25,0,1990,8,13,1990/08/13 04:00:00+00
485591,485592,1990221N07162,WP,MM,YANCY,17.81,146.93,27,0,1990,8,13,1990/08/13 04:00:00+00
485592,485593,1990221N07162,WP,MM,YANCY,18.23,146.51,30,0,1990,8,13,1990/08/13 04:00:00+00
485593,485594,1990221N07162,WP,MM,YANCY,18.52,145.87,30,0,1990,8,13,1990/08/13 04:00:00+00
485594,485595,1990221N07162,WP,MM,YANCY,18.67,145.05,30,0,1990,8,13,1990/08/13 04:00:00+00
485595,485596,1990221N07162,WP,MM,YANCY,18.73,144.11,30,0,1990,8,13,1990/08/13 04:00:00+00
485596,485597,1990221N07162,WP,MM,YANCY,18.68,143.1,30,0,1990,8,14,1990/08/14 04:00:00+00
485597,485598,1990221N07162,WP,MM,YANCY,18.54,142.1,32,0,1990,8,14,1990/08/14 04:00:00+00
485598,485599,1990221N07162,WP,MM,YANCY,18.43,141.1,35,0,1990,8,14,1990/08/14 04:00:00+00
485599,485600,1990221N07162,WP,MM,YANCY,18.45,140.09,37,0,1990,8,14,1990/08/14 04:00:00+00
485600,485601,1990221N07162,WP,MM,YANCY,18.52,139.07,40,0,1990,8,14,1990/08/14 04:00:00+00
485601,485602,1990221N07162,WP,MM,YANCY,18.57,138.06,42,0,1990,8,14,1990/08/14 04:00:00+00
485602,485603,1990221N07162,WP,MM,YANCY,18.55,137.1,45,0,1990,8,14,1990/08/14 04:00:00+00
485603,485604,1990221N07162,WP,MM,YANCY,18.38,136.21,47,0,1990,8,14,1990/08/14 04:00:00+00
485604,485605,1990221N07162,WP,MM,YANCY,18.23,135.45,50,0,1990,8,15,1990/08/15 04:00:00+00
485605,485606,1990221N07162,WP,MM,YANCY,18.22,134.84,52,0,1990,8,15,1990/08/15 04:00:00+00
485606,485607,1990221N07162,WP,MM,YANCY,18.32,134.32,55,0,1990,8,15,1990/08/15 04:00:00+00
485607,485608,1990221N07162,WP,MM,YANCY,18.52,133.84,55,0,1990,8,15,1990/08/15 04:00:00+00
485608,485609,1990221N07162,WP,MM,YANCY,18.75,133.38,55,0,1990,8,15,1990/08/15 04:00:00+00
485609,485610,1990221N07162,WP,MM,YANCY,18.89,132.91,55,0,1990,8,15,1990/08/15 04:00:00+00
485610,485611,1990221N07162,WP,MM,YANCY,19.02,132.45,55,0,1990,8,15,1990/08/15 04:00:00+00
