Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
526327,526328,1996015S18182,SP,MM,YASI,-17.93,-177.73,20,0,1996,1,15,1996/01/15 05:00:00+00
526328,526329,1996015S18182,SP,MM,YASI,-17.94,-177.42,22,0,1996,1,15,1996/01/15 05:00:00+00
526329,526330,1996015S18182,SP,MM,YASI,-18.09,-177.09,25,0,1996,1,15,1996/01/15 05:00:00+00
526330,526331,1996015S18182,SP,MM,YASI,-18.48,-176.75,25,0,1996,1,15,1996/01/15 05:00:00+00
526331,526332,1996015S18182,SP,MM,YASI,-19.0,-176.43,25,0,1996,1,15,1996/01/15 05:00:00+00
526332,526333,1996015S18182,SP,MM,YASI,-19.53,-176.19,25,0,1996,1,15,1996/01/15 05:00:00+00
526333,526334,1996015S18182,SP,MM,YASI,-20.04,-175.98,25,0,1996,1,15,1996/01/15 05:00:00+00
526334,526335,1996015S18182,SP,MM,YASI,-20.46,-175.78,25,0,1996,1,15,1996/01/15 05:00:00+00
526335,526336,1996015S18182,SP,MM,YASI,-20.75,-175.56,25,0,1996,1,16,1996/01/16 05:00:00+00
526336,526337,1996015S18182,SP,MM,YASI,-20.83,-175.38,27,0,1996,1,16,1996/01/16 05:00:00+00
526337,526338,1996015S18182,SP,MM,YASI,-20.94,-175.05,30,0,1996,1,16,1996/01/16 05:00:00+00
526338,526339,1996015S18182,SP,MM,YASI,-21.31,-174.38,32,0,1996,1,16,1996/01/16 05:00:00+00
526339,526340,1996015S18182,SP,MM,YASI,-21.7,-173.65,35,0,1996,1,16,1996/01/16 05:00:00+00
526340,526341,1996015S18182,SP,MM,YASI,-21.94,-173.13,37,0,1996,1,16,1996/01/16 05:00:00+00
526341,526342,1996015S18182,SP,MM,YASI,-22.1,-172.7,40,0,1996,1,16,1996/01/16 05:00:00+00
526342,526343,1996015S18182,SP,MM,YASI,-22.24,-172.25,42,0,1996,1,16,1996/01/16 05:00:00+00
526343,526344,1996015S18182,SP,MM,YASI,-22.35,-171.85,45,0,1996,1,17,1996/01/17 05:00:00+00
526344,526345,1996015S18182,SP,MM,YASI,-22.47,-171.53,45,0,1996,1,17,1996/01/17 05:00:00+00
