Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
502951,502952,1992290N11253,EP,MM,YOLANDA,10.8,-107.2,25,1010,1992,10,15,1992/10/15 04:00:00+00
502952,502953,1992290N11253,EP,MM,YOLANDA,10.87,-108.21,27,1009,1992,10,15,1992/10/15 04:00:00+00
502953,502954,1992290N11253,EP,MM,YOLANDA,10.9,-109.2,30,1009,1992,10,16,1992/10/16 04:00:00+00
502954,502955,1992290N11253,EP,MM,YOLANDA,10.88,-110.15,32,1007,1992,10,16,1992/10/16 04:00:00+00
502955,502956,1992290N11253,EP,MM,YOLANDA,10.9,-111.1,35,1005,1992,10,16,1992/10/16 04:00:00+00
502956,502957,1992290N11253,EP,MM,YOLANDA,11.03,-112.1,40,1002,1992,10,16,1992/10/16 04:00:00+00
502957,502958,1992290N11253,EP,MM,YOLANDA,11.2,-113.1,45,1000,1992,10,16,1992/10/16 04:00:00+00
502958,502959,1992290N11253,EP,MM,YOLANDA,11.33,-114.06,47,999,1992,10,16,1992/10/16 04:00:00+00
502959,502960,1992290N11253,EP,MM,YOLANDA,11.5,-115.0,50,998,1992,10,16,1992/10/16 04:00:00+00
502960,502961,1992290N11253,EP,MM,YOLANDA,11.73,-115.95,50,997,1992,10,16,1992/10/16 04:00:00+00
502961,502962,1992290N11253,EP,MM,YOLANDA,12.0,-116.9,50,997,1992,10,17,1992/10/17 04:00:00+00
502962,502963,1992290N11253,EP,MM,YOLANDA,12.25,-117.85,50,996,1992,10,17,1992/10/17 04:00:00+00
502963,502964,1992290N11253,EP,MM,YOLANDA,12.5,-118.8,50,996,1992,10,17,1992/10/17 04:00:00+00
502964,502965,1992290N11253,EP,MM,YOLANDA,12.74,-119.75,50,996,1992,10,17,1992/10/17 04:00:00+00
502965,502966,1992290N11253,EP,MM,YOLANDA,13.0,-120.7,50,997,1992,10,17,1992/10/17 04:00:00+00
502966,502967,1992290N11253,EP,MM,YOLANDA,13.29,-121.65,50,997,1992,10,17,1992/10/17 04:00:00+00
502967,502968,1992290N11253,EP,MM,YOLANDA,13.6,-122.6,50,998,1992,10,17,1992/10/17 04:00:00+00
502968,502969,1992290N11253,EP,MM,YOLANDA,13.91,-123.56,47,998,1992,10,17,1992/10/17 04:00:00+00
502969,502970,1992290N11253,EP,MM,YOLANDA,14.2,-124.5,45,999,1992,10,18,1992/10/18 04:00:00+00
502970,502971,1992290N11253,EP,MM,YOLANDA,14.41,-125.42,45,1000,1992,10,18,1992/10/18 04:00:00+00
502971,502972,1992290N11253,EP,MM,YOLANDA,14.6,-126.3,45,1001,1992,10,18,1992/10/18 04:00:00+00
502972,502973,1992290N11253,EP,MM,YOLANDA,14.83,-127.14,45,1000,1992,10,18,1992/10/18 04:00:00+00
502973,502974,1992290N11253,EP,MM,YOLANDA,15.1,-127.9,45,1000,1992,10,18,1992/10/18 04:00:00+00
502974,502975,1992290N11253,EP,MM,YOLANDA,15.4,-128.59,50,997,1992,10,18,1992/10/18 04:00:00+00
502975,502976,1992290N11253,EP,MM,YOLANDA,15.7,-129.2,55,994,1992,10,18,1992/10/18 04:00:00+00
502976,502977,1992290N11253,EP,MM,YOLANDA,15.95,-129.76,55,993,1992,10,18,1992/10/18 04:00:00+00
502977,502978,1992290N11253,EP,MM,YOLANDA,16.2,-130.3,55,993,1992,10,19,1992/10/19 04:00:00+00
502978,502979,1992290N11253,EP,MM,YOLANDA,16.48,-130.86,55,993,1992,10,19,1992/10/19 04:00:00+00
502979,502980,1992290N11253,EP,MM,YOLANDA,16.8,-131.4,55,993,1992,10,19,1992/10/19 04:00:00+00
502980,502981,1992290N11253,EP,MM,YOLANDA,17.14,-131.91,55,993,1992,10,19,1992/10/19 04:00:00+00
502981,502982,1992290N11253,EP,MM,YOLANDA,17.5,-132.4,55,994,1992,10,19,1992/10/19 04:00:00+00
502982,502983,1992290N11253,EP,MM,YOLANDA,17.85,-132.87,50,997,1992,10,19,1992/10/19 04:00:00+00
502983,502984,1992290N11253,EP,MM,YOLANDA,18.2,-133.3,45,1000,1992,10,19,1992/10/19 04:00:00+00
502984,502985,1992290N11253,EP,MM,YOLANDA,18.58,-133.74,42,1000,1992,10,19,1992/10/19 04:00:00+00
