Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
527482,527483,1996069S21166,SP,MM,ZAKA,-21.0,166.4,25,0,1996,3,9,1996/03/09 05:00:00+00
527483,527484,1996069S21166,SP,MM,ZAKA,-21.27,167.37,27,0,1996,3,9,1996/03/09 05:00:00+00
527484,527485,1996069S21166,SP,MM,ZAKA,-21.5,168.21,30,0,1996,3,9,1996/03/09 05:00:00+00
527485,527486,1996069S21166,SP,MM,ZAKA,-21.72,168.89,30,0,1996,3,9,1996/03/09 05:00:00+00
527486,527487,1996069S21166,SP,MM,ZAKA,-21.99,169.58,30,0,1996,3,9,1996/03/09 05:00:00+00
527487,527488,1996069S21166,SP,MM,ZAKA,-22.31,170.4,32,0,1996,3,9,1996/03/09 05:00:00+00
527488,527489,1996069S21166,SP,MM,ZAKA,-22.75,171.39,35,0,1996,3,10,1996/03/10 05:00:00+00
527489,527490,1996069S21166,SP,MM,ZAKA,-23.38,172.62,37,0,1996,3,10,1996/03/10 05:00:00+00
527490,527491,1996069S21166,SP,MM,ZAKA,-24.18,174.06,40,0,1996,3,10,1996/03/10 05:00:00+00
527491,527492,1996069S21166,SP,MM,ZAKA,-25.05,175.58,40,0,1996,3,10,1996/03/10 05:00:00+00
527492,527493,1996069S21166,SP,MM,ZAKA,-25.95,177.25,40,0,1996,3,10,1996/03/10 05:00:00+00
527493,527494,1996069S21166,SP,MM,ZAKA,-26.65,178.92,40,0,1996,3,10,1996/03/10 05:00:00+00
527494,527495,1996069S21166,SP,MM,ZAKA,-27.36,180.87,40,0,1996,3,10,1996/03/10 05:00:00+00
527495,527496,1996069S21166,SP,MM,ZAKA,-28.2,183.07,40,0,1996,3,10,1996/03/10 05:00:00+00
527496,527497,1996069S21166,SP,MM,ZAKA,-29.0,185.4,40,0,1996,3,11,1996/03/11 04:00:00+00
527497,527498,1996069S21166,SP,MM,ZAKA,-29.57,187.73,40,0,1996,3,11,1996/03/11 04:00:00+00
527498,527499,1996069S21166,SP,MM,ZAKA,-29.9,190.3,40,0,1996,3,11,1996/03/11 04:00:00+00
527499,527500,1996069S21166,SP,MM,ZAKA,-29.95,193.09,40,0,1996,3,11,1996/03/11 04:00:00+00
527500,527501,1996071S25177,SP,MM,ZAKA,-25.0,176.5,0,0,1996,3,10,1996/03/10 05:00:00+00
527501,527502,1996071S25177,SP,MM,ZAKA,-25.17,177.9,0,0,1996,3,10,1996/03/10 05:00:00+00
527502,527503,1996071S25177,SP,MM,ZAKA,-25.5,179.5,0,0,1996,3,10,1996/03/10 05:00:00+00
527503,527504,1996071S25177,SP,MM,ZAKA,-26.5,181.53,0,0,1996,3,10,1996/03/10 05:00:00+00
527504,527505,1996071S25177,SP,MM,ZAKA,-27.5,183.5,0,0,1996,3,11,1996/03/11 04:00:00+00
