Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
491611,491612,1991187N06139,WP,MM,ZEKE,5.7,138.9,15,0,1991,7,6,1991/07/06 04:00:00+00
491612,491613,1991187N06139,WP,MM,ZEKE,5.96,138.56,15,0,1991,7,6,1991/07/06 04:00:00+00
491613,491614,1991187N06139,WP,MM,ZEKE,6.2,138.2,15,0,1991,7,6,1991/07/06 04:00:00+00
491614,491615,1991187N06139,WP,MM,ZEKE,6.41,137.81,15,0,1991,7,6,1991/07/06 04:00:00+00
491615,491616,1991187N06139,WP,MM,ZEKE,6.6,137.4,15,0,1991,7,6,1991/07/06 04:00:00+00
491616,491617,1991187N06139,WP,MM,ZEKE,6.8,137.01,15,0,1991,7,6,1991/07/06 04:00:00+00
491617,491618,1991187N06139,WP,MM,ZEKE,7.0,136.6,15,0,1991,7,6,1991/07/06 04:00:00+00
491618,491619,1991187N06139,WP,MM,ZEKE,7.19,136.16,17,0,1991,7,6,1991/07/06 04:00:00+00
491619,491620,1991187N06139,WP,MM,ZEKE,7.4,135.7,20,0,1991,7,7,1991/07/07 04:00:00+00
491620,491621,1991187N06139,WP,MM,ZEKE,7.65,135.22,20,0,1991,7,7,1991/07/07 04:00:00+00
491621,491622,1991187N06139,WP,MM,ZEKE,7.9,134.7,20,0,1991,7,7,1991/07/07 04:00:00+00
491622,491623,1991187N06139,WP,MM,ZEKE,8.11,134.13,20,0,1991,7,7,1991/07/07 04:00:00+00
491623,491624,1991187N06139,WP,MM,ZEKE,8.3,133.5,20,0,1991,7,7,1991/07/07 04:00:00+00
491624,491625,1991187N06139,WP,MM,ZEKE,8.5,132.81,20,0,1991,7,7,1991/07/07 04:00:00+00
491625,491626,1991187N06139,WP,MM,ZEKE,8.7,132.1,20,0,1991,7,7,1991/07/07 04:00:00+00
491626,491627,1991187N06139,WP,MM,ZEKE,8.9,131.39,22,0,1991,7,7,1991/07/07 04:00:00+00
491627,491628,1991187N06139,WP,MM,ZEKE,9.1,130.7,25,0,1991,7,8,1991/07/08 04:00:00+00
491628,491629,1991187N06139,WP,MM,ZEKE,9.3,130.03,25,0,1991,7,8,1991/07/08 04:00:00+00
491629,491630,1991187N06139,WP,MM,ZEKE,9.5,129.4,25,0,1991,7,8,1991/07/08 04:00:00+00
491630,491631,1991187N06139,WP,MM,ZEKE,9.7,128.78,25,0,1991,7,8,1991/07/08 04:00:00+00
491631,491632,1991187N06139,WP,MM,ZEKE,9.9,128.2,25,0,1991,7,8,1991/07/08 04:00:00+00
491632,491633,1991187N06139,WP,MM,ZEKE,10.09,127.68,25,0,1991,7,8,1991/07/08 04:00:00+00
491633,491634,1991187N06139,WP,MM,ZEKE,10.26,127.18,25,0,1991,7,8,1991/07/08 04:00:00+00
491634,491635,1991187N06139,WP,MM,ZEKE,10.49,126.79,25,0,1991,7,8,1991/07/08 04:00:00+00
491635,491636,1991187N06139,WP,MM,ZEKE,10.76,126.47,25,0,1991,7,9,1991/07/09 04:00:00+00
491636,491637,1991187N06139,WP,MM,ZEKE,11.02,126.17,25,0,1991,7,9,1991/07/09 04:00:00+00
491637,491638,1991187N06139,WP,MM,ZEKE,11.34,125.87,25,0,1991,7,9,1991/07/09 04:00:00+00
491638,491639,1991187N06139,WP,MM,ZEKE,11.67,125.56,25,0,1991,7,9,1991/07/09 04:00:00+00
491639,491640,1991187N06139,WP,MM,ZEKE,12.05,125.14,25,0,1991,7,9,1991/07/09 04:00:00+00
491640,491641,1991187N06139,WP,MM,ZEKE,12.5,124.59,25,0,1991,7,9,1991/07/09 04:00:00+00
491641,491642,1991187N06139,WP,MM,ZEKE,12.98,123.95,25,0,1991,7,9,1991/07/09 04:00:00+00
491642,491643,1991187N06139,WP,MM,ZEKE,13.32,123.21,27,0,1991,7,9,1991/07/09 04:00:00+00
491643,491644,1991187N06139,WP,MM,ZEKE,13.57,122.45,30,0,1991,7,10,1991/07/10 04:00:00+00
491644,491645,1991187N06139,WP,MM,ZEKE,13.77,121.73,30,0,1991,7,10,1991/07/10 04:00:00+00
491645,491646,1991187N06139,WP,MM,ZEKE,13.93,121.05,30,0,1991,7,10,1991/07/10 04:00:00+00
491646,491647,1991187N06139,WP,MM,ZEKE,14.06,120.42,32,0,1991,7,10,1991/07/10 04:00:00+00
