Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
594884,594885,2005364N24324,,,ZETA,23.9,-35.6,30,1009,2005,12,30,2005/12/30 05:00:00+00
594885,594886,2005364N24324,,,ZETA,24.03,-35.85,35,1007,2005,12,30,2005/12/30 05:00:00+00
594886,594887,2005364N24324,,,ZETA,24.2,-36.1,40,1005,2005,12,30,2005/12/30 05:00:00+00
594887,594888,2005364N24324,,,ZETA,24.43,-36.36,42,1003,2005,12,30,2005/12/30 05:00:00+00
594888,594889,2005364N24324,,,ZETA,24.7,-36.6,45,1002,2005,12,30,2005/12/30 05:00:00+00
594889,594890,2005364N24324,,,ZETA,24.96,-36.81,45,1001,2005,12,30,2005/12/30 05:00:00+00
594890,594891,2005364N24324,,,ZETA,25.2,-37.0,45,1000,2005,12,30,2005/12/30 05:00:00+00
594891,594892,2005364N24324,,,ZETA,25.43,-37.16,45,1000,2005,12,30,2005/12/30 05:00:00+00
594892,594893,2005364N24324,,,ZETA,25.6,-37.3,45,1000,2005,12,31,2005/12/31 05:00:00+00
594893,594894,2005364N24324,,,ZETA,25.68,-37.45,47,998,2005,12,31,2005/12/31 05:00:00+00
594894,594895,2005364N24324,,,ZETA,25.7,-37.6,50,997,2005,12,31,2005/12/31 05:00:00+00
594895,594896,2005364N24324,,,ZETA,25.71,-37.76,50,997,2005,12,31,2005/12/31 05:00:00+00
594896,594897,2005364N24324,,,ZETA,25.7,-37.9,50,997,2005,12,31,2005/12/31 05:00:00+00
594897,594898,2005364N24324,,,ZETA,25.71,-38.01,47,998,2005,12,31,2005/12/31 05:00:00+00
594898,594899,2005364N24324,,,ZETA,25.7,-38.1,45,1000,2005,12,31,2005/12/31 05:00:00+00
594899,594900,2005364N24324,,,ZETA,25.66,-38.21,47,998,2005,12,31,2005/12/31 05:00:00+00
594900,594901,2005364N24324,,,ZETA,25.6,-38.3,50,997,2006,1,1,2006/01/01 05:00:00+00
594901,594902,2005364N24324,,,ZETA,25.51,-38.36,50,997,2006,1,1,2006/01/01 05:00:00+00
594902,594903,2005364N24324,,,ZETA,25.4,-38.4,50,997,2006,1,1,2006/01/01 05:00:00+00
594903,594904,2005364N24324,,,ZETA,25.3,-38.45,50,997,2006,1,1,2006/01/01 05:00:00+00
594904,594905,2005364N24324,,,ZETA,25.2,-38.5,50,997,2006,1,1,2006/01/01 05:00:00+00
594905,594906,2005364N24324,,,ZETA,25.11,-38.53,52,995,2006,1,1,2006/01/01 05:00:00+00
594906,594907,2005364N24324,,,ZETA,25.0,-38.6,55,994,2006,1,1,2006/01/01 05:00:00+00
594907,594908,2005364N24324,,,ZETA,24.81,-38.7,55,994,2006,1,1,2006/01/01 05:00:00+00
594908,594909,2005364N24324,,,ZETA,24.6,-38.9,55,994,2006,1,2,2006/01/02 05:00:00+00
594909,594910,2005364N24324,,,ZETA,24.46,-39.27,52,995,2006,1,2,2006/01/02 05:00:00+00
594910,594911,2005364N24324,,,ZETA,24.3,-39.7,50,997,2006,1,2,2006/01/02 05:00:00+00
594911,594912,2005364N24324,,,ZETA,24.04,-40.08,47,998,2006,1,2,2006/01/02 05:00:00+00
594912,594913,2005364N24324,,,ZETA,23.8,-40.4,45,1000,2006,1,2,2006/01/02 05:00:00+00
