Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
554825,554826,1999254N18142,WP,MM,ZIA,17.75,141.6,15,0,1999,9,11,1999/09/11 04:00:00+00
554826,554827,1999254N18142,WP,MM,ZIA,18.06,141.13,15,0,1999,9,11,1999/09/11 04:00:00+00
554827,554828,1999254N18142,WP,MM,ZIA,18.45,140.65,15,0,1999,9,11,1999/09/11 04:00:00+00
554828,554829,1999254N18142,WP,MM,ZIA,18.95,140.15,15,0,1999,9,11,1999/09/11 04:00:00+00
554829,554830,1999254N18142,WP,MM,ZIA,19.5,139.7,15,0,1999,9,11,1999/09/11 04:00:00+00
554830,554831,1999254N18142,WP,MM,ZIA,20.0,139.38,15,0,1999,9,11,1999/09/11 04:00:00+00
554831,554832,1999254N18142,WP,MM,ZIA,20.5,139.15,15,0,1999,9,11,1999/09/11 04:00:00+00
554832,554833,1999254N18142,WP,MM,ZIA,21.0,138.95,15,0,1999,9,11,1999/09/11 04:00:00+00
554833,554834,1999254N18142,WP,MM,ZIA,21.5,138.75,15,0,1999,9,12,1999/09/12 04:00:00+00
554834,554835,1999254N18142,WP,MM,ZIA,22.03,138.47,17,0,1999,9,12,1999/09/12 04:00:00+00
554835,554836,1999254N18142,WP,MM,ZIA,22.55,138.15,20,0,1999,9,12,1999/09/12 04:00:00+00
554836,554837,1999254N18142,WP,MM,ZIA,23.03,137.84,20,0,1999,9,12,1999/09/12 04:00:00+00
554837,554838,1999254N18142,WP,MM,ZIA,23.5,137.5,20,0,1999,9,12,1999/09/12 04:00:00+00
554838,554839,1999254N18142,WP,MM,ZIA,23.94,137.16,20,0,1999,9,12,1999/09/12 04:00:00+00
554839,554840,1999254N18142,WP,MM,ZIA,24.34,136.78,20,0,1999,9,12,1999/09/12 04:00:00+00
554840,554841,1999254N18142,WP,MM,ZIA,24.92,136.31,20,0,1999,9,12,1999/09/12 04:00:00+00
554841,554842,1999254N18142,WP,MM,ZIA,25.64,135.72,20,0,1999,9,13,1999/09/13 04:00:00+00
554842,554843,1999254N18142,WP,MM,ZIA,26.49,134.95,20,0,1999,9,13,1999/09/13 04:00:00+00
554843,554844,1999254N18142,WP,MM,ZIA,27.3,134.13,20,0,1999,9,13,1999/09/13 04:00:00+00
554844,554845,1999254N18142,WP,MM,ZIA,27.89,133.41,20,0,1999,9,13,1999/09/13 04:00:00+00
554845,554846,1999254N18142,WP,MM,ZIA,28.36,132.85,20,0,1999,9,13,1999/09/13 04:00:00+00
554846,554847,1999254N18142,WP,MM,ZIA,28.79,132.53,27,0,1999,9,13,1999/09/13 04:00:00+00
554847,554848,1999254N18142,WP,MM,ZIA,29.18,132.3,35,0,1999,9,13,1999/09/13 04:00:00+00
554848,554849,1999254N18142,WP,MM,ZIA,29.61,131.95,37,0,1999,9,13,1999/09/13 04:00:00+00
554849,554850,1999254N18142,WP,MM,ZIA,30.1,131.62,40,0,1999,9,14,1999/09/14 04:00:00+00
554850,554851,1999254N18142,WP,MM,ZIA,30.69,131.34,42,0,1999,9,14,1999/09/14 04:00:00+00
554851,554852,1999254N18142,WP,MM,ZIA,31.25,131.2,45,0,1999,9,14,1999/09/14 04:00:00+00
554852,554853,1999254N18142,WP,MM,ZIA,31.51,131.2,41,0,1999,9,14,1999/09/14 04:00:00+00
554853,554854,1999254N18142,WP,MM,ZIA,31.66,131.25,40,0,1999,9,14,1999/09/14 04:00:00+00
554854,554855,1999254N18142,WP,MM,ZIA,32.1,131.53,35,0,1999,9,14,1999/09/14 04:00:00+00
554855,554856,1999254N18142,WP,MM,ZIA,32.7,131.97,35,0,1999,9,14,1999/09/14 04:00:00+00
554856,554857,1999254N18142,WP,MM,ZIA,33.16,132.41,35,0,1999,9,14,1999/09/14 04:00:00+00
554857,554858,1999254N18142,WP,MM,ZIA,33.35,132.65,35,0,1999,9,14,1999/09/14 04:00:00+00
554858,554859,1999254N18142,WP,MM,ZIA,33.94,133.52,35,0,1999,9,14,1999/09/14 04:00:00+00
554859,554860,1999254N18142,WP,MM,ZIA,34.52,134.55,35,0,1999,9,15,1999/09/15 04:00:00+00
554860,554861,1999254N18142,WP,MM,ZIA,34.73,134.88,34,0,1999,9,15,1999/09/15 04:00:00+00
554861,554862,1999254N18142,WP,MM,ZIA,35.14,135.68,32,0,1999,9,15,1999/09/15 04:00:00+00
554862,554863,1999254N18142,WP,MM,ZIA,35.73,137.38,30,0,1999,9,15,1999/09/15 04:00:00+00
554863,554864,1999254N18142,WP,MM,ZIA,36.37,139.37,27,0,1999,9,15,1999/09/15 04:00:00+00
554864,554865,1999254N18142,WP,MM,ZIA,37.0,141.38,25,0,1999,9,15,1999/09/15 04:00:00+00
554865,554866,1999254N18142,WP,MM,ZIA,37.45,143.22,0,0,1999,9,15,1999/09/15 04:00:00+00
554866,554867,1999254N18142,WP,MM,ZIA,37.9,144.9,0,0,1999,9,15,1999/09/15 04:00:00+00
