Unnamed: 0,OBJECTID,SID,BASIN,SUBBASIN,NAME,LAT,LON,USA_WIND,USA_PRES,year,month,day,Hurricane_Date
540633,540634,1997232N17115,WP,MM,ZITA,16.9,115.0,25,0,1997,8,19,1997/08/19 04:00:00+00
540634,540635,1997232N17115,WP,MM,ZITA,17.2,115.21,25,0,1997,8,19,1997/08/19 04:00:00+00
540635,540636,1997232N17115,WP,MM,ZITA,17.5,115.5,25,0,1997,8,19,1997/08/19 04:00:00+00
540636,540637,1997232N17115,WP,MM,ZITA,17.8,115.92,27,0,1997,8,19,1997/08/19 04:00:00+00
540637,540638,1997232N17115,WP,MM,ZITA,17.98,116.52,30,0,1997,8,20,1997/08/20 04:00:00+00
540638,540639,1997232N17115,WP,MM,ZITA,18.19,117.06,30,0,1997,8,20,1997/08/20 04:00:00+00
540639,540640,1997232N17115,WP,MM,ZITA,18.41,117.4,30,0,1997,8,20,1997/08/20 04:00:00+00
540640,540641,1997232N17115,WP,MM,ZITA,18.6,117.38,32,0,1997,8,20,1997/08/20 04:00:00+00
540641,540642,1997232N17115,WP,MM,ZITA,18.81,117.17,35,0,1997,8,20,1997/08/20 04:00:00+00
540642,540643,1997232N17115,WP,MM,ZITA,19.0,116.93,35,0,1997,8,20,1997/08/20 04:00:00+00
540643,540644,1997232N17115,WP,MM,ZITA,19.19,116.59,35,0,1997,8,20,1997/08/20 04:00:00+00
540644,540645,1997232N17115,WP,MM,ZITA,19.41,116.19,37,0,1997,8,20,1997/08/20 04:00:00+00
540645,540646,1997232N17115,WP,MM,ZITA,19.63,115.68,40,0,1997,8,21,1997/08/21 04:00:00+00
540646,540647,1997232N17115,WP,MM,ZITA,19.82,115.04,42,0,1997,8,21,1997/08/21 04:00:00+00
540647,540648,1997232N17115,WP,MM,ZITA,19.95,114.38,45,0,1997,8,21,1997/08/21 04:00:00+00
540648,540649,1997232N17115,WP,MM,ZITA,20.0,113.81,47,0,1997,8,21,1997/08/21 04:00:00+00
540649,540650,1997232N17115,WP,MM,ZITA,20.02,113.3,50,0,1997,8,21,1997/08/21 04:00:00+00
540650,540651,1997232N17115,WP,MM,ZITA,20.07,112.82,52,0,1997,8,21,1997/08/21 04:00:00+00
540651,540652,1997232N17115,WP,MM,ZITA,20.15,112.35,55,0,1997,8,21,1997/08/21 04:00:00+00
540652,540653,1997232N17115,WP,MM,ZITA,20.26,111.84,60,0,1997,8,21,1997/08/21 04:00:00+00
540653,540654,1997232N17115,WP,MM,ZITA,20.43,111.3,65,0,1997,8,22,1997/08/22 04:00:00+00
540654,540655,1997232N17115,WP,MM,ZITA,20.67,110.72,70,0,1997,8,22,1997/08/22 04:00:00+00
